event_index,event,waypoint_index,x_cm,y_cm,next_x_cm,next_y_cm,host_timestamp_utc,recorder_elapsed_s
1,guide_attached,1,4.56,10.72,10.27,10.7,2026-07-30T19:37:22.448+00:00,79.5
2,waypoint_shown,1,4.56,10.72,10.27,10.7,2026-07-30T19:37:22.448+00:00,79.5
3,duration_reached,1,4.56,10.72,10.27,10.7,2026-07-30T19:42:47.951+00:00,601.0
4,waypoint_advanced,1,4.56,10.72,10.27,10.7,2026-07-30T19:43:14.955+00:00,643.9
5,waypoint_shown,2,10.27,10.7,19.16,15.96,2026-07-30T19:43:14.956+00:00,643.9
6,waypoint_advanced,2,10.27,10.7,19.16,15.96,2026-07-30T19:43:15.246+00:00,644.4
7,waypoint_shown,3,19.16,15.96,24.29,3.96,2026-07-30T19:43:15.247+00:00,644.4
8,waypoint_advanced,3,19.16,15.96,24.29,3.96,2026-07-30T19:43:15.491+00:00,644.4
9,waypoint_shown,4,24.29,3.96,23.33,3.21,2026-07-30T19:43:15.491+00:00,644.4
10,waypoint_advanced,4,24.29,3.96,23.33,3.21,2026-07-30T19:43:15.740+00:00,644.4
11,waypoint_shown,5,23.33,3.21,23.17,23.49,2026-07-30T19:43:15.740+00:00,644.4
12,waypoint_advanced,5,23.33,3.21,23.17,23.49,2026-07-30T19:43:15.937+00:00,645.6
13,waypoint_shown,6,23.17,23.49,23.48,21.8,2026-07-30T19:43:15.938+00:00,645.6
14,waypoint_advanced,6,23.17,23.49,23.48,21.8,2026-07-30T19:43:16.115+00:00,645.6
15,waypoint_shown,7,23.48,21.8,8.13,17.33,2026-07-30T19:43:16.116+00:00,645.6
16,waypoint_advanced,7,23.48,21.8,8.13,17.33,2026-07-30T19:43:16.313+00:00,646.1
17,waypoint_shown,8,8.13,17.33,8.67,16.44,2026-07-30T19:43:16.313+00:00,646.1
18,waypoint_advanced,8,8.13,17.33,8.67,16.44,2026-07-30T19:43:16.799+00:00,646.1
19,waypoint_shown,9,8.67,16.44,5.19,24.32,2026-07-30T19:43:16.799+00:00,646.1
20,waypoint_advanced,9,8.67,16.44,5.19,24.32,2026-07-30T19:43:16.838+00:00,647.3
21,waypoint_shown,10,5.19,24.32,7.47,10.8,2026-07-30T19:43:16.838+00:00,647.3
22,waypoint_advanced,10,5.19,24.32,7.47,10.8,2026-07-30T19:43:16.864+00:00,647.3
23,waypoint_shown,11,7.47,10.8,9.94,23.76,2026-07-30T19:43:16.864+00:00,647.3
24,waypoint_advanced,11,7.47,10.8,9.94,23.76,2026-07-30T19:43:16.897+00:00,647.3
25,waypoint_shown,12,9.94,23.76,5.28,20.39,2026-07-30T19:43:16.897+00:00,647.3
26,waypoint_advanced,12,9.94,23.76,5.28,20.39,2026-07-30T19:43:16.932+00:00,647.3
27,waypoint_shown,13,5.28,20.39,5.44,1.83,2026-07-30T19:43:16.932+00:00,647.3
28,waypoint_advanced,13,5.28,20.39,5.44,1.83,2026-07-30T19:43:16.963+00:00,647.3
29,waypoint_shown,14,5.44,1.83,11.95,13.25,2026-07-30T19:43:16.963+00:00,647.3
30,waypoint_advanced,14,5.44,1.83,11.95,13.25,2026-07-30T19:43:16.996+00:00,647.3
31,waypoint_shown,15,11.95,13.25,13.68,23.19,2026-07-30T19:43:16.997+00:00,647.3
32,waypoint_advanced,15,11.95,13.25,13.68,23.19,2026-07-30T19:43:17.029+00:00,647.3
33,waypoint_shown,16,13.68,23.19,3.39,12.63,2026-07-30T19:43:17.030+00:00,647.3
34,waypoint_advanced,16,13.68,23.19,3.39,12.63,2026-07-30T19:43:17.063+00:00,647.3
35,waypoint_shown,17,3.39,12.63,19.32,16.3,2026-07-30T19:43:17.064+00:00,647.3
36,waypoint_advanced,17,3.39,12.63,19.32,16.3,2026-07-30T19:43:17.096+00:00,647.3
37,waypoint_shown,18,19.32,16.3,17.58,13.84,2026-07-30T19:43:17.097+00:00,647.3
38,waypoint_advanced,18,19.32,16.3,17.58,13.84,2026-07-30T19:43:17.129+00:00,647.3
39,waypoint_shown,19,17.58,13.84,22.28,14.53,2026-07-30T19:43:17.130+00:00,647.3
