event_index,event,waypoint_index,x_cm,y_cm,next_x_cm,next_y_cm,host_timestamp_utc,recorder_elapsed_s
1,guide_attached,1,7.26,9.72,10.61,4.2,2026-07-30T20:14:03.306+00:00,5.1
2,waypoint_shown,1,7.26,9.72,10.61,4.2,2026-07-30T20:14:03.307+00:00,5.1
3,duration_reached,1,7.26,9.72,10.61,4.2,2026-07-30T20:20:15.123+00:00,600.4
