"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B210423113 +++ Firmware version: 40.51"
"7/23/2026","3:13 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
286.300000, 0, 0, 0, 36.1, 1.217041, 4095.000000, 0, 2.93219350, 3.04645372, 2.20753914, 1.35003059, 1.10146751, 0.48260890, 2.20508471, 1.19199605, 1.04206776, 1.49500044, 2.20486286, 0.88888627, 1.00868911, 0.95860098, 2.20472881, 0.63914126, 1.98410805, 0.97754003, 2.20703972, 1.00420381, 0.76632654, 0.81024420, 2.20725337, 1.17314611, 1.81801488, 1.35894697, 2.20745704, 1.14232629, 1.06223139, 0.80762316, 2.20777916, 0.70984121
286.800000, 0, 0, 0, 36.1, 1.217651, 4095.000000, 0, 2.93231117, 3.04640528, 2.20715286, 1.35003230, 1.10145627, 0.48262259, 2.20772968, 1.19202914, 1.04206349, 1.49501524, 2.20768810, 0.88887642, 1.00869637, 0.95864268, 2.20549219, 0.63914126, 1.98411470, 0.97755428, 2.20458426, 1.00420604, 0.76632295, 0.81025010, 2.20703709, 1.17314395, 1.81801094, 1.35892361, 2.20759125, 1.14233781, 1.06225074, 0.80761210, 2.20745441, 0.70983040
287.400000, 0, 0, 0, 36.1, 1.220703, 4095.000000, 0, 2.93216354, 3.04642689, 2.20752178, 1.35001691, 1.10141635, 0.48261047, 2.20553741, 1.19201759, 1.04208745, 1.49499118, 2.20488862, 0.88885752, 1.00869693, 0.95859963, 2.20482185, 0.63915177, 1.98409097, 0.97751016, 2.20474301, 1.00418626, 0.76632176, 0.81024100, 2.20717180, 1.17314179, 1.81794136, 1.35895522, 2.20735757, 1.14229902, 1.06223688, 0.80759614, 2.20784706, 0.70985040
288.000000, 128, 0, 0, 36.1, 1.217651, 4095.000000, 1, 2.93215641, 3.04645521, 2.20728442, 1.35003811, 1.10142699, 0.48262553, 2.20771757, 1.19200448, 1.04209201, 1.49501265, 2.20877634, 0.88891217, 1.00868101, 0.95859881, 2.20911550, 0.63914542, 1.98402551, 0.97753318, 2.20492752, 1.00421774, 0.76631889, 0.81025306, 2.20483815, 1.17318007, 1.81800175, 1.35897343, 2.20153465, 1.14227841, 1.06230792, 0.80760474, 2.20396886, 0.70983224
288.500000, 128, 0, 0, 36.1, 1.218262, 4095.000000, 1, 2.93197385, 3.04614895, 2.20421426, 1.34992941, 1.10148851, 0.48260030, 2.20480346, 1.19203320, 1.04202213, 1.49504486, 2.20450332, 0.88887565, 1.00868157, 0.95858175, 2.20465049, 0.63913031, 1.98400131, 0.97752743, 2.20450385, 1.00401937, 0.76624387, 0.81012759, 2.20476456, 1.17269363, 1.81773003, 1.35783290, 2.20680663, 1.14176657, 1.06180260, 0.80759860, 2.20748283, 0.70959795
289.000000, 128, 0, 0, 36.1, 1.220703, 4095.000000, 1, 2.92660629, 3.04154966, 2.20749599, 1.34761455, 1.10104937, 0.48260636, 2.20755335, 1.19165772, 1.04110680, 1.49494120, 2.20759230, 0.88849652, 1.00835441, 0.95823465, 2.20787180, 0.63900728, 1.98324430, 0.97711589, 2.20742178, 1.00346254, 0.76606542, 0.80989022, 2.20781443, 1.17207713, 1.81735772, 1.35648143, 2.20527556, 1.14109527, 1.06114852, 0.80747409, 2.20480871, 0.70943887
289.600000, 128, 0, 0, 36.1, 1.217651, 4095.000000, 1, 2.92413535, 3.03895653, 2.20690502, 1.34611731, 1.10074662, 0.48252209, 2.20536231, 1.19132539, 1.04060088, 1.49490529, 2.20476981, 0.88824848, 1.00812200, 0.95806005, 2.20484866, 0.63893657, 1.98252692, 0.97686195, 2.20702289, 1.00304372, 0.76592807, 0.80975101, 2.20759967, 1.17178347, 1.81725317, 1.35563153, 2.20739283, 1.14060832, 1.06057575, 0.80741245, 2.20778916, 0.70932187
290.200000, 128, 0, 0, 36.1, 1.215820, 4095.000000, 1, 2.92309620, 3.03805013, 2.20508523, 1.34527405, 1.10051664, 0.48248826, 2.20722180, 1.19123958, 1.04028914, 1.49489678, 2.20752125, 0.88807503, 1.00794940, 0.95793607, 2.20752125, 0.63887462, 1.98224155, 0.97666201, 2.20754599, 1.00279148, 0.76585547, 0.80965878, 2.20495748, 1.17162740, 1.81726498, 1.35508950, 2.20703762, 1.14024956, 1.06007472, 0.80738789, 2.20737915, 0.70923131
290.700000, 128, 0, 0, 36.1, 1.217651, 4095.000000, 1, 2.92261514, 3.03742029, 2.20735389, 1.34464315, 1.10038245, 0.48244759, 2.20750546, 1.19111229, 1.04011278, 1.49486420, 2.20784390, 0.88797977, 1.00780362, 0.95784892, 2.20756283, 0.63883500, 1.98187470, 0.97646647, 2.20537440, 1.00261443, 0.76578334, 0.80960050, 2.20683241, 1.17154012, 1.81712764, 1.35476422, 2.20700079, 1.13993082, 1.05969090, 0.80734664, 2.20741441, 0.70913272
291.300000, 128, 0, 0, 36.1, 1.216431, 4095.000000, 1, 2.92232101, 3.03704083, 2.20500112, 1.34426696, 1.10023498, 0.48243997, 2.20740862, 1.19096036, 1.03998515, 1.49485346, 2.20772757, 0.88785734, 1.00775586, 0.95774878, 2.20779969, 0.63882931, 1.98164155, 0.97631175, 2.20743651, 1.00245021, 0.76571933, 0.80955353, 2.20780495, 1.17145346, 1.81706334, 1.35444757, 2.20761178, 1.13967570, 1.05939163, 0.80731595, 2.20784390, 0.70910054
