run_id,architecture,temporal_mode,target,session,seed,run_directory
area_pooled_transformer_causal_seed3,transformer,causal,area,,3,output/spatial-sequence/runs/area/transformer_causal_seed3
height_pooled_transformer_causal_seed3,transformer,causal,height,,3,output/spatial-sequence/runs/height/transformer_causal_seed3
velocity_pooled_transformer_causal_seed3,transformer,causal,velocity,,3,output/spatial-sequence/runs/velocity/transformer_causal_seed3
position_caret-lavender-left-mint-right-run01_transformer_causal_seed4,transformer,causal,position,caret-lavender-left-mint-right-run01,4,output/spatial-sequence/runs/position/caret-lavender-left-mint-right-run01/transformer_causal_seed4
position_caret-mint-left-lavender-right-run01_transformer_causal_seed4,transformer,causal,position,caret-mint-left-lavender-right-run01,4,output/spatial-sequence/runs/position/caret-mint-left-lavender-right-run01/transformer_causal_seed4
position_inverted-caret-lavender-left-mint-right-run01_transformer_causal_seed4,transformer,causal,position,inverted-caret-lavender-left-mint-right-run01,4,output/spatial-sequence/runs/position/inverted-caret-lavender-left-mint-right-run01/transformer_causal_seed4
position_lavender-only-horizontal-run01_transformer_causal_seed4,transformer,causal,position,lavender-only-horizontal-run01,4,output/spatial-sequence/runs/position/lavender-only-horizontal-run01/transformer_causal_seed4
position_mint-only-horizontal-run01_transformer_causal_seed4,transformer,causal,position,mint-only-horizontal-run01,4,output/spatial-sequence/runs/position/mint-only-horizontal-run01/transformer_causal_seed4
distance_pooled_transformer_causal_seed4,transformer,causal,distance,,4,output/spatial-sequence/runs/distance/transformer_causal_seed4
area_pooled_transformer_causal_seed4,transformer,causal,area,,4,output/spatial-sequence/runs/area/transformer_causal_seed4
height_pooled_transformer_causal_seed4,transformer,causal,height,,4,output/spatial-sequence/runs/height/transformer_causal_seed4
velocity_pooled_transformer_causal_seed4,transformer,causal,velocity,,4,output/spatial-sequence/runs/velocity/transformer_causal_seed4
position_caret-lavender-left-mint-right-run01_transformer_bidirectional_seed0,transformer,bidirectional,position,caret-lavender-left-mint-right-run01,0,output/spatial-sequence/runs/position/caret-lavender-left-mint-right-run01/transformer_bidirectional_seed0
position_caret-mint-left-lavender-right-run01_transformer_bidirectional_seed0,transformer,bidirectional,position,caret-mint-left-lavender-right-run01,0,output/spatial-sequence/runs/position/caret-mint-left-lavender-right-run01/transformer_bidirectional_seed0
position_inverted-caret-lavender-left-mint-right-run01_transformer_bidirectional_seed0,transformer,bidirectional,position,inverted-caret-lavender-left-mint-right-run01,0,output/spatial-sequence/runs/position/inverted-caret-lavender-left-mint-right-run01/transformer_bidirectional_seed0
position_lavender-only-horizontal-run01_transformer_bidirectional_seed0,transformer,bidirectional,position,lavender-only-horizontal-run01,0,output/spatial-sequence/runs/position/lavender-only-horizontal-run01/transformer_bidirectional_seed0
position_mint-only-horizontal-run01_transformer_bidirectional_seed0,transformer,bidirectional,position,mint-only-horizontal-run01,0,output/spatial-sequence/runs/position/mint-only-horizontal-run01/transformer_bidirectional_seed0
distance_pooled_transformer_bidirectional_seed0,transformer,bidirectional,distance,,0,output/spatial-sequence/runs/distance/transformer_bidirectional_seed0
area_pooled_transformer_bidirectional_seed0,transformer,bidirectional,area,,0,output/spatial-sequence/runs/area/transformer_bidirectional_seed0
height_pooled_transformer_bidirectional_seed0,transformer,bidirectional,height,,0,output/spatial-sequence/runs/height/transformer_bidirectional_seed0
velocity_pooled_transformer_bidirectional_seed0,transformer,bidirectional,velocity,,0,output/spatial-sequence/runs/velocity/transformer_bidirectional_seed0
position_caret-lavender-left-mint-right-run01_transformer_bidirectional_seed1,transformer,bidirectional,position,caret-lavender-left-mint-right-run01,1,output/spatial-sequence/runs/position/caret-lavender-left-mint-right-run01/transformer_bidirectional_seed1
position_caret-mint-left-lavender-right-run01_transformer_bidirectional_seed1,transformer,bidirectional,position,caret-mint-left-lavender-right-run01,1,output/spatial-sequence/runs/position/caret-mint-left-lavender-right-run01/transformer_bidirectional_seed1
position_inverted-caret-lavender-left-mint-right-run01_transformer_bidirectional_seed1,transformer,bidirectional,position,inverted-caret-lavender-left-mint-right-run01,1,output/spatial-sequence/runs/position/inverted-caret-lavender-left-mint-right-run01/transformer_bidirectional_seed1
position_lavender-only-horizontal-run01_transformer_bidirectional_seed1,transformer,bidirectional,position,lavender-only-horizontal-run01,1,output/spatial-sequence/runs/position/lavender-only-horizontal-run01/transformer_bidirectional_seed1
position_mint-only-horizontal-run01_transformer_bidirectional_seed1,transformer,bidirectional,position,mint-only-horizontal-run01,1,output/spatial-sequence/runs/position/mint-only-horizontal-run01/transformer_bidirectional_seed1
distance_pooled_transformer_bidirectional_seed1,transformer,bidirectional,distance,,1,output/spatial-sequence/runs/distance/transformer_bidirectional_seed1
area_pooled_transformer_bidirectional_seed1,transformer,bidirectional,area,,1,output/spatial-sequence/runs/area/transformer_bidirectional_seed1
height_pooled_transformer_bidirectional_seed1,transformer,bidirectional,height,,1,output/spatial-sequence/runs/height/transformer_bidirectional_seed1
velocity_pooled_transformer_bidirectional_seed1,transformer,bidirectional,velocity,,1,output/spatial-sequence/runs/velocity/transformer_bidirectional_seed1
position_caret-lavender-left-mint-right-run01_transformer_bidirectional_seed2,transformer,bidirectional,position,caret-lavender-left-mint-right-run01,2,output/spatial-sequence/runs/position/caret-lavender-left-mint-right-run01/transformer_bidirectional_seed2
position_caret-mint-left-lavender-right-run01_transformer_bidirectional_seed2,transformer,bidirectional,position,caret-mint-left-lavender-right-run01,2,output/spatial-sequence/runs/position/caret-mint-left-lavender-right-run01/transformer_bidirectional_seed2
