"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B210423113 +++ Firmware version: 40.51"
"7/23/2026","2:39 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
75591.900000, 0, 0, 0, 35.7, 1.219482, 4095.000000, 0, 2.92904114, 3.04352597, 2.20704920, 1.34750122, 1.09889498, 0.48495429, 2.20774494, 1.19020248, 1.04711688, 1.49508078, 2.20777074, 0.88823165, 1.00789131, 0.95855630, 2.20785075, 0.63901144, 1.98032746, 0.97572123, 2.20785233, 1.00304288, 0.76558464, 0.80997655, 2.20790918, 1.17430813, 1.81666317, 1.35809728, 2.20785233, 1.13746321, 1.05854055, 0.80691135, 2.20805236, 0.70883237
75592.400000, 0, 0, 0, 35.7, 1.218262, 4095.000000, 0, 2.92920141, 3.04318730, 2.20781285, 1.34743159, 1.09889557, 0.48496330, 2.20782758, 1.19025580, 1.04717668, 1.49509484, 2.20785443, 0.88826790, 1.00786645, 0.95858121, 2.20794497, 0.63902085, 1.98032651, 0.97572644, 2.20793392, 1.00301532, 0.76558846, 0.80999943, 2.20766652, 1.17429578, 1.81658708, 1.35810277, 2.20537703, 1.13750099, 1.05858463, 0.80690815, 2.20504790, 0.70885213
75593.000000, 0, 0, 0, 35.7, 1.217041, 4095.000000, 0, 2.92932536, 3.04329448, 2.20715075, 1.34743330, 1.09891949, 0.48495370, 2.20780179, 1.19029665, 1.04715809, 1.49506226, 2.20784759, 0.88826738, 1.00787958, 0.95860342, 2.20777389, 0.63901603, 1.98029478, 0.97573136, 2.20773547, 1.00299750, 0.76559300, 0.80998713, 2.20749704, 1.17433408, 1.81668372, 1.35811582, 2.20767862, 1.13748739, 1.05859443, 0.80690275, 2.20503266, 0.70883398
75593.600000, 0, 0, 0, 35.7, 1.219482, 4095.000000, 0, 2.92920924, 3.04328480, 2.20714181, 1.34741623, 1.09895759, 0.48496291, 2.20745125, 1.19033438, 1.04716238, 1.49511928, 2.20766283, 0.88828136, 1.00790527, 0.95861262, 2.20763388, 0.63903398, 1.98040560, 0.97575901, 2.20808606, 1.00304595, 0.76559037, 0.80997212, 2.20859624, 1.17431122, 1.81675501, 1.35809281, 2.20854253, 1.13751973, 1.05860855, 0.80691576, 2.19189414, 0.70882410
75594.100000, 128, 0, 0, 35.7, 1.221924, 4095.000000, 1, 2.92934388, 3.04349694, 2.19762612, 1.34754901, 1.09892038, 0.48495684, 2.19992593, 1.19031443, 1.04709771, 1.49513816, 2.20223497, 0.88827152, 1.00790750, 0.95858338, 2.20214361, 0.63901450, 1.98032651, 0.97575654, 2.20321704, 1.00304288, 0.76559825, 0.80998098, 2.20680716, 1.17434922, 1.81668198, 1.35831052, 2.20494487, 1.13765815, 1.05864774, 0.80690619, 2.20488704, 0.70885443
75594.700000, 128, 0, 0, 35.7, 1.218872, 4095.000000, 1, 2.92895211, 3.04309724, 2.20476140, 1.34738756, 1.09906331, 0.48497780, 2.20695185, 1.19033781, 1.04703648, 1.49513890, 2.20726916, 0.88825625, 1.00787427, 0.95861344, 2.20754441, 0.63902260, 1.98028057, 0.97574560, 2.20760493, 1.00304121, 0.76558106, 0.80999402, 2.20784864, 1.17426705, 1.81673839, 1.35802208, 2.20739599, 1.13744447, 1.05856677, 0.80688533, 2.20745336, 0.70880571
75595.200000, 128, 0, 0, 35.7, 1.218262, 4095.000000, 1, 2.92850770, 3.04268273, 2.20752072, 1.34717118, 1.09890059, 0.48494391, 2.20781232, 1.19025081, 1.04696439, 1.49507707, 2.20548167, 0.88820343, 1.00781144, 0.95854980, 2.20485707, 0.63897991, 1.98024600, 0.97571083, 2.20672350, 1.00297300, 0.76558106, 0.80996278, 2.20765862, 1.17420589, 1.81669509, 1.35791427, 2.20780074, 1.13740277, 1.05855034, 0.80689514, 2.20785654, 0.70880870
75595.800000, 128, 0, 0, 35.7, 1.219482, 4095.000000, 1, 2.92822215, 3.04276235, 2.20755230, 1.34708826, 1.09887018, 0.48494822, 2.20793813, 1.19021184, 1.04689601, 1.49507337, 2.20775179, 0.88818324, 1.00778267, 0.95852516, 2.20779916, 0.63898495, 1.98008737, 0.97569030, 2.20775758, 1.00295323, 0.76557199, 0.80993424, 2.20746704, 1.17421299, 1.81665224, 1.35787410, 2.20537020, 1.13737194, 1.05857541, 0.80690202, 2.20729600, 0.70879468
75596.300000, 128, 0, 0, 35.7, 1.217651, 4095.000000, 1, 2.92828552, 3.04268050, 2.20745020, 1.34706403, 1.09884774, 0.48495057, 2.20776442, 1.19023210, 1.04690145, 1.49511447, 2.20742073, 0.88816098, 1.00776815, 0.95851487, 2.20503056, 0.63898495, 1.98020291, 0.97569085, 2.20437140, 1.00289421, 0.76557270, 0.80993769, 2.20477034, 1.17418087, 1.81665268, 1.35781230, 2.20415278, 1.13736106, 1.05849243, 0.80688778, 2.20659355, 0.70879377
75596.900000, 128, 0, 0, 35.6, 1.217651, 4095.000000, 1, 2.92824351, 3.04254656, 2.20721759, 1.34698793, 1.09889380, 0.48494744, 2.20775916, 1.19025986, 1.04687913, 1.49511410, 2.20776705, 0.88815632, 1.00776284, 0.95850783, 2.20772915, 0.63896218, 1.98026873, 0.97567744, 2.20535705, 1.00286386, 0.76558106, 0.80993326, 2.20480503, 1.17417932, 1.81662425, 1.35780921, 2.20717023, 1.13739703, 1.05852499, 0.80690374, 2.20725705, 0.70877378
