"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B210423113 +++ Firmware version: 40.51"
"7/23/2026","2:47 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
76064.100000, 0, 0, 0, 36.1, 1.218262, 4095.000000, 0, 2.92699770, 3.04088032, 2.20760230, 1.34593622, 1.09819263, 0.48414085, 2.20548325, 1.18916196, 1.04451495, 1.49504486, 2.20452802, 0.88759595, 1.00734849, 0.95792173, 2.20670193, 0.63876036, 1.97937059, 0.97505378, 2.20740967, 1.00207729, 0.76532199, 0.80976281, 2.20755388, 1.17324490, 1.81583553, 1.35572343, 2.20771284, 1.13561859, 1.05717708, 0.80656158, 2.20770757, 0.70819671
76064.700000, 0, 0, 0, 36.1, 1.217651, 4095.000000, 0, 2.92701834, 3.04084537, 2.20758441, 1.34592735, 1.09818614, 0.48414927, 2.20796129, 1.18913921, 1.04451295, 1.49506486, 2.20758125, 0.88761277, 1.00734207, 0.95791469, 2.20534180, 0.63875686, 1.97937248, 0.97506855, 2.20481502, 1.00211346, 0.76531124, 0.80974806, 2.20710708, 1.17320045, 1.81588537, 1.35575704, 2.20728968, 1.13558810, 1.05721566, 0.80658858, 2.20758914, 0.70819947
76065.300000, 0, 0, 0, 36.1, 1.217651, 4095.000000, 0, 2.92718489, 3.04102161, 2.20768862, 1.34597714, 1.09814894, 0.48413850, 2.20765546, 1.18916601, 1.04451695, 1.49507485, 2.20542278, 0.88762519, 1.00739427, 0.95793662, 2.20741441, 0.63875445, 1.97931237, 0.97505186, 2.20765178, 1.00214296, 0.76531841, 0.80977511, 2.20770231, 1.17318841, 1.81591771, 1.35576835, 2.20556370, 1.13561013, 1.05717910, 0.80658146, 2.20550270, 0.70820246
76065.800000, 128, 0, 0, 36.1, 1.217651, 4095.000000, 1, 2.92708453, 3.04114432, 2.20789075, 1.34599249, 1.09816577, 0.48414731, 2.19289985, 1.18913796, 1.04455666, 1.49501339, 2.19824396, 0.88763994, 1.00740153, 0.95794690, 2.20271912, 0.63875183, 1.97930858, 0.97506855, 2.20109537, 1.00210790, 0.76532342, 0.80977437, 2.20360684, 1.17322020, 1.81600427, 1.35592919, 2.20423371, 1.13580003, 1.05722747, 0.80659913, 2.20440188, 0.70822129
76066.400000, 128, 0, 0, 36.1, 1.218872, 4095.000000, 1, 2.92686319, 3.04089444, 2.20461685, 1.34595020, 1.09834701, 0.48420624, 2.20465785, 1.18919780, 1.04448724, 1.49511114, 2.20459530, 0.88762157, 1.00737724, 0.95793743, 2.20440451, 0.63877897, 1.97940230, 0.97503982, 2.20711392, 1.00209510, 0.76532199, 0.80976035, 2.20712760, 1.17323440, 1.81579051, 1.35567817, 2.20706866, 1.13560289, 1.05717161, 0.80658784, 2.20498640, 0.70817145
76067.000000, 128, 0, 0, 36.1, 1.217651, 4095.000000, 1, 2.92629320, 3.04048920, 2.20647887, 1.34567228, 1.09816105, 0.48414261, 2.20475194, 1.18909559, 1.04437041, 1.49503598, 2.20444235, 0.88753462, 1.00731136, 0.95788681, 2.20699868, 0.63874767, 1.97928633, 0.97502094, 2.20495065, 1.00204167, 0.76531769, 0.80974166, 2.20685767, 1.17314056, 1.81590110, 1.35554924, 2.20726284, 1.13550599, 1.05715002, 0.80655888, 2.20770336, 0.70816938
76067.500000, 128, 0, 0, 36.1, 1.217651, 4095.000000, 1, 2.92622845, 3.04051968, 2.20748651, 1.34556589, 1.09808342, 0.48413791, 2.20811080, 1.18909559, 1.04436698, 1.49505005, 2.20732494, 0.88751909, 1.00730577, 0.95784486, 2.20766810, 0.63875423, 1.97918031, 0.97499906, 2.20525768, 1.00202080, 0.76529501, 0.80972027, 2.20450385, 1.17316062, 1.81596318, 1.35546866, 2.20455378, 1.13547852, 1.05711289, 0.80654023, 2.20465102, 0.70815101
76068.000000, 128, 0, 0, 36.1, 1.219482, 4095.000000, 1, 2.92624624, 3.04016208, 2.20677927, 1.34557953, 1.09803088, 0.48413889, 2.20766073, 1.18911491, 1.04437155, 1.49504745, 2.20733810, 0.88748933, 1.00728847, 0.95783999, 2.20776442, 0.63874176, 1.97921628, 0.97496376, 2.20769125, 1.00205642, 0.76529692, 0.80971363, 2.20775231, 1.17312420, 1.81595443, 1.35554101, 2.20753967, 1.13546433, 1.05708007, 0.80654735, 2.20781337, 0.70815147
76068.600000, 128, 0, 0, 36.1, 1.216431, 4095.000000, 1, 2.92582577, 3.04008476, 2.20759020, 1.34554578, 1.09802823, 0.48410620, 2.20802762, 1.18902236, 1.04436612, 1.49498118, 2.20797656, 0.88751159, 1.00724296, 0.95785677, 2.20734757, 0.63872206, 1.97905820, 0.97493723, 2.20532393, 1.00201134, 0.76529692, 0.80971313, 2.20721180, 1.17310012, 1.81578177, 1.35552112, 2.20753493, 1.13544260, 1.05708093, 0.80654784, 2.20505316, 0.70814228
76069.200000, 128, 0, 0, 36.1, 1.216431, 4095.000000, 1, 2.92604062, 3.04000373, 2.20686872, 1.34542201, 1.09800019, 0.48409622, 2.20786706, 1.18902672, 1.04429500, 1.49504153, 2.20772757, 0.88750512, 1.00727060, 0.95783891, 2.20755704, 0.63870630, 1.97904637, 0.97492601, 2.20777968, 1.00199047, 0.76529620, 0.80972272, 2.20774705, 1.17315599, 1.81590591, 1.35546489, 2.20540438, 1.13542901, 1.05705070, 0.80654047, 2.20490701, 0.70813838
76069.700000, 128, 0, 0, 36.1, 1.218262, 4095.000000, 1, 2.92598655, 3.04006989, 2.20479557, 1.34546395, 1.09801554, 0.48411442, 2.20722969, 1.18901737, 1.04423930, 1.49504449, 2.20761915, 0.88750020, 1.00725385, 0.95781834, 2.20790181, 0.63871309, 1.97907666, 0.97493668, 2.20774547, 1.00198240, 0.76529166, 0.80970182, 2.20791233, 1.17311895, 1.81591378, 1.35540661, 2.20735862, 1.13540004, 1.05700263, 0.80653017, 2.20766073, 0.70811725
76070.300000, 128, 0, 0, 36.1, 1.215820, 4095.000000, 1, 2.92608829, 3.04020668, 2.20771231, 1.34545304, 1.09800521, 0.48410933, 2.20775442, 1.18903077, 1.04425473, 1.49499673, 2.20768073, 0.88750253, 1.00724073, 0.95781184, 2.20797656, 0.63872972, 1.97915522, 0.97492273, 2.20535653, 1.00196209, 0.76528617, 0.80970944, 2.20691028, 1.17310876, 1.81585214, 1.35538878, 2.20485655, 1.13542026, 1.05699918, 0.80652796, 2.20475404, 0.70813907
76070.900000, 128, 0, 0, 36.0, 1.217651, 4095.000000, 1, 2.92606908, 3.04033009, 2.20454642, 1.34539849, 1.09799753, 0.48408623, 2.20687082, 1.18900584, 1.04423959, 1.49504301, 2.20767652, 0.88750590, 1.00725943, 0.95782835, 2.20772284, 0.63871571, 1.97901750, 0.97494406, 2.20767968, 1.00197155, 0.76526994, 0.80972420, 2.20783022, 1.17311679, 1.81579751, 1.35539152, 2.20751862, 1.13539340, 1.05698680, 0.80653385, 2.20768599, 0.70814021
