"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B210423113 +++ Firmware version: 40.51"
"6/16/2026","3:57 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
3196.300000, 0, 0, 0, 36.6, 1.217651, 4095.000000, 0, 2.93669102, 3.03994426, 2.20765862, 1.35831945, 1.10177660, 0.48420291, 2.20786706, 1.20423226, 1.04886661, 1.47654608, 2.20543435, 0.89096561, 1.01158895, 0.96184368, 2.20506525, 0.64115228, 1.98555650, 0.97851424, 2.20703551, 1.00571612, 0.76793365, 0.80960911, 2.20531236, 1.17195775, 1.82476378, 1.36299976, 2.20696080, 1.14987489, 1.06660917, 0.80999721, 2.20771020, 0.71044882
3196.900000, 0, 0, 0, 36.6, 1.217041, 4095.000000, 0, 2.93663530, 3.04009889, 2.20733863, 1.35827652, 1.10173844, 0.48419469, 2.20771547, 1.20422660, 1.04881907, 1.47654315, 2.20533181, 0.89096613, 1.01155620, 0.96183961, 2.20710339, 0.64118999, 1.98559590, 0.97850409, 2.20477560, 1.00572476, 0.76793796, 0.80961452, 2.20718285, 1.17198613, 1.82485467, 1.36300217, 2.20749441, 1.14986911, 1.06665782, 0.80998369, 2.20550007, 0.71043433
3197.400000, 128, 0, 0, 36.6, 1.217651, 4095.000000, 1, 2.93660744, 3.04013903, 2.20664984, 1.35831155, 1.10182186, 0.48420467, 2.20757493, 1.20421403, 1.04881592, 1.47657357, 2.20529448, 0.89100607, 1.01154024, 0.96183174, 2.20487863, 0.64116566, 1.98548054, 0.97851478, 2.20460949, 1.00573898, 0.76794537, 0.80960886, 2.20458164, 1.17197040, 1.82484720, 1.36293434, 2.20697605, 1.14989224, 1.06665724, 0.80999721, 2.20755230, 0.71043364
3198.000000, 128, 0, 0, 36.6, 1.217651, 4095.000000, 1, 2.93649528, 3.04004016, 2.20504580, 1.35823532, 1.10197717, 0.48421250, 2.20703709, 1.20428697, 1.04890185, 1.47658127, 2.20733652, 0.89103745, 1.01161694, 0.96191695, 2.20768073, 0.64123494, 1.98595248, 0.97867218, 2.20761704, 1.00575572, 0.76797909, 0.80964919, 2.20549482, 1.17192690, 1.82478617, 1.36273569, 2.20711287, 1.14984992, 1.06647656, 0.80998565, 2.20704656, 0.71032070
3198.600000, 128, 0, 0, 36.6, 1.218262, 4095.000000, 1, 2.93392990, 3.03777159, 2.20722180, 1.35706850, 1.10171507, 0.48430804, 2.20763441, 1.20402666, 1.04829042, 1.47652629, 2.20535442, 0.89077915, 1.01130962, 0.96162093, 2.20716654, 0.64109550, 1.98498450, 0.97830230, 2.20751599, 1.00534997, 0.76780976, 0.80940132, 2.20548745, 1.17133998, 1.82444285, 1.36158347, 2.20690923, 1.14916047, 1.06608631, 0.80990399, 2.20535758, 0.71020501
3199.100000, 128, 0, 0, 36.6, 1.219482, 4095.000000, 1, 2.93246808, 3.03635927, 2.20684504, 1.35609827, 1.10129391, 0.48415573, 2.20766441, 1.20376199, 1.04792252, 1.47646105, 2.20501426, 0.89059453, 1.01115346, 0.96147443, 2.20704288, 0.64103938, 1.98464422, 0.97811779, 2.20754125, 1.00506419, 0.76771626, 0.80930076, 2.20785338, 1.17118395, 1.82434759, 1.36104891, 2.20537861, 1.14889602, 1.06587038, 0.80993916, 2.20714707, 0.71012474
3199.700000, 128, 0, 0, 36.6, 1.218262, 4095.000000, 1, 2.93191609, 3.03571426, 2.20741336, 1.35546866, 1.10122738, 0.48407958, 2.20789286, 1.20370353, 1.04776966, 1.47644968, 2.20758335, 0.89050430, 1.01109217, 0.96141991, 2.20767020, 0.64103017, 1.98442167, 0.97803145, 2.20763441, 1.00491449, 0.76767799, 0.80926806, 2.20722969, 1.17104243, 1.82434145, 1.36075384, 2.20743283, 1.14867574, 1.06567734, 0.80988800, 2.20734073, 0.71007392
3200.300000, 128, 0, 0, 36.6, 1.217651, 4095.000000, 1, 2.93144907, 3.03547381, 2.20748546, 1.35514777, 1.10118213, 0.48404630, 2.20557317, 1.20360328, 1.04764086, 1.47642439, 2.20678927, 0.89041123, 1.01098836, 0.96130517, 2.20724074, 0.64099553, 1.98417020, 0.97792756, 2.20746967, 1.00477539, 0.76761582, 0.80922503, 2.20774600, 1.17094378, 1.82423303, 1.36035430, 2.20758862, 1.14841015, 1.06542067, 0.80985677, 2.20791233, 0.71000792
3200.800000, 128, 0, 0, 36.6, 1.218262, 4095.000000, 1, 2.93121523, 3.03503601, 2.20489124, 1.35475908, 1.10095298, 0.48400617, 2.20490439, 1.20351088, 1.04755214, 1.47640900, 2.20710497, 0.89032542, 1.01091029, 0.96128076, 2.20720496, 0.64095585, 1.98400558, 0.97785136, 2.20708866, 1.00469986, 0.76759765, 0.80918963, 2.20493435, 1.17089846, 1.82427956, 1.36031407, 2.20687503, 1.14835296, 1.06528613, 0.80986808, 2.20532235, 0.71001229
3201.300000, 128, 0, 0, 36.6, 1.215210, 4095.000000, 1, 2.93124161, 3.03490395, 2.20447809, 1.35457504, 1.10106888, 0.48401048, 2.20436772, 1.20347851, 1.04747143, 1.47643905, 2.20684083, 0.89028887, 1.01087840, 0.96124441, 2.20512308, 0.64095103, 1.98382200, 0.97772090, 2.20457480, 1.00459506, 0.76754719, 0.80916431, 2.20710129, 1.17083095, 1.82423083, 1.36004902, 2.20733810, 1.14803907, 1.06504803, 0.80979651, 2.20495380, 0.70995687
