"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B210423113 +++ Firmware version: 40.51"
"6/16/2026","3:24 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
1257.100000, 0, 0, 0, 35.7, 1.244507, 4095.000000, 0, 2.94261668, 3.04459659, 2.20442291, 1.36027763, 1.10137553, 0.50083825, 2.20429887, 1.20479103, 1.05751655, 1.47549843, 2.20663196, 0.89306541, 1.01268267, 0.96363499, 2.20742704, 0.64196460, 1.98595010, 0.97887567, 2.20471357, 1.00720276, 0.76832619, 0.81060860, 2.20472198, 1.17673727, 1.82551911, 1.36533676, 2.20466258, 1.14791347, 1.06368636, 0.80992367, 2.20468308, 0.71122193
1257.600000, 0, 0, 0, 35.7, 1.246948, 4095.000000, 0, 2.94266465, 3.04496300, 2.20654463, 1.36024944, 1.10132644, 0.50084657, 2.20769968, 1.20482468, 1.05752490, 1.47549806, 2.20761862, 0.89307918, 1.01264374, 0.96365862, 2.20761441, 0.64195670, 1.98598904, 0.97887348, 2.20764388, 1.00720360, 0.76834629, 0.81062681, 2.20757072, 1.17671561, 1.82553009, 1.36534435, 2.20779916, 1.14793080, 1.06370544, 0.80996966, 2.20745020, 0.71122585
1258.200000, 0, 0, 0, 35.7, 1.244507, 4095.000000, 0, 2.94280572, 3.04485799, 2.20516725, 1.36026010, 1.10134034, 0.50087075, 2.20490912, 1.20483789, 1.05751770, 1.47548890, 2.20459688, 0.89309294, 1.01267119, 0.96367329, 2.20673928, 0.64196153, 1.98595723, 0.97883810, 2.20468729, 1.00715503, 0.76833050, 0.81062853, 2.20464629, 1.17668808, 1.82552482, 1.36539917, 2.20677138, 1.14793476, 1.06374157, 0.80995048, 2.20710813, 0.71124311
1258.700000, 128, 0, 0, 35.7, 1.244507, 4095.000000, 1, 2.94254794, 3.04478128, 2.20496642, 1.36027041, 1.10132763, 0.50087293, 2.20485865, 1.20481997, 1.05754218, 1.47545813, 2.20462053, 0.89305529, 1.01268155, 0.96368524, 2.20458374, 0.64196087, 1.98598429, 0.97888856, 2.20459846, 1.00715307, 0.76832882, 0.81062336, 2.20695764, 1.17674129, 1.82559158, 1.36544916, 2.20504738, 1.14797399, 1.06373319, 0.80997458, 2.20707287, 0.71122884
1259.300000, 128, 0, 0, 35.7, 1.243896, 4095.000000, 1, 2.94267754, 3.04497640, 2.20737125, 1.36035051, 1.10145923, 0.50089533, 2.20783232, 1.20486777, 1.05757616, 1.47551968, 2.20763757, 0.89308333, 1.01271629, 0.96369964, 2.20783180, 0.64198171, 1.98632479, 0.97901555, 2.20719654, 1.00732839, 0.76840849, 0.81074592, 2.20540490, 1.17701044, 1.82591005, 1.36603608, 2.20469990, 1.14849016, 1.06386616, 0.81002526, 2.20708287, 0.71127717
1259.900000, 128, 0, 0, 35.7, 1.245728, 4095.000000, 1, 2.94238612, 3.04454744, 2.20711445, 1.36025666, 1.10191031, 0.50114628, 2.20760757, 1.20504642, 1.05755744, 1.47566732, 2.20745704, 0.89309969, 1.01269752, 0.96369393, 2.20742967, 0.64199772, 1.98606169, 0.97887896, 2.20768546, 1.00711455, 0.76828719, 0.81057636, 2.20774758, 1.17664477, 1.82558455, 1.36520438, 2.20752967, 1.14781889, 1.06361266, 0.80992342, 2.20553373, 0.71114806
1260.400000, 128, 0, 0, 35.7, 1.245728, 4095.000000, 1, 2.94168240, 3.04370834, 2.20681031, 1.35975102, 1.10132260, 0.50098611, 2.20761441, 1.20476682, 1.05732277, 1.47551858, 2.20752967, 0.89296595, 1.01259360, 0.96359505, 2.20724811, 0.64192379, 1.98576540, 0.97880299, 2.20524296, 1.00705314, 0.76827188, 0.81056800, 2.20490281, 1.17658291, 1.82543873, 1.36498893, 2.20426944, 1.14768054, 1.06349243, 0.80987029, 2.20452540, 0.71111054
1261.000000, 128, 0, 0, 35.7, 1.243286, 4095.000000, 1, 2.94120358, 3.04351257, 2.20670246, 1.35955582, 1.10104700, 0.50086679, 2.20526662, 1.20466838, 1.05718083, 1.47547095, 2.20474353, 0.89289999, 1.01253310, 0.96349890, 2.20443447, 0.64187290, 1.98550475, 0.97873334, 2.20448493, 1.00693229, 0.76823696, 0.81047671, 2.20683346, 1.17639361, 1.82533771, 1.36466081, 2.20717707, 1.14733881, 1.06340024, 0.80982799, 2.20747862, 0.71105623
1261.500000, 128, 0, 0, 35.7, 1.244507, 4095.000000, 1, 2.94097673, 3.04315306, 2.20739441, 1.35930841, 1.10073687, 0.50069932, 2.20794813, 1.20449858, 1.05704869, 1.47533761, 2.20755546, 0.89281586, 1.01250958, 0.96344186, 2.20751283, 0.64184395, 1.98539699, 0.97863132, 2.20765704, 1.00689349, 0.76821351, 0.81044226, 2.20759283, 1.17632557, 1.82522089, 1.36445060, 2.20768915, 1.14717952, 1.06329418, 0.80984693, 2.20516672, 0.71103414
1262.100000, 128, 0, 0, 35.7, 1.245117, 4095.000000, 1, 2.94094739, 3.04295584, 2.20672140, 1.35917063, 1.10062513, 0.50058121, 2.20759862, 1.20448443, 1.05703401, 1.47533871, 2.20713497, 0.89277328, 1.01247093, 0.96341225, 2.20737231, 0.64182947, 1.98535189, 0.97861322, 2.20762599, 1.00685665, 0.76819270, 0.81042627, 2.20536178, 1.17627299, 1.82527799, 1.36442751, 2.20642626, 1.14715307, 1.06327453, 0.80980266, 2.20499481, 0.71102701
1262.600000, 128, 0, 0, 35.7, 1.243896, 4095.000000, 1, 2.94078782, 3.04291491, 2.20668615, 1.35909092, 1.10059291, 0.50049898, 2.20523297, 1.20444795, 1.05695456, 1.47532662, 2.20429519, 0.89277276, 1.01245580, 0.96337015, 2.20681294, 0.64181894, 1.98537705, 0.97859842, 2.20671298, 1.00682316, 0.76818050, 0.81043389, 2.20747441, 1.17624269, 1.82533640, 1.36430312, 2.20750809, 1.14707191, 1.06322772, 0.80980684, 2.20499481, 0.71101021
1263.200000, 128, 0, 0, 35.7, 1.245728, 4095.000000, 1, 2.94084936, 3.04284644, 2.20461475, 1.35899541, 1.10059704, 0.50042705, 2.20479557, 1.20441148, 1.05694736, 1.47528706, 2.20677717, 0.89275147, 1.01246476, 0.96339650, 2.20742441, 0.64181017, 1.98527973, 0.97861405, 2.20533129, 1.00684074, 0.76819390, 0.81043562, 2.20479031, 1.17623341, 1.82525471, 1.36426969, 2.20433146, 1.14711325, 1.06320922, 0.80979257, 2.20450227, 0.71099134
1263.700000, 128, 0, 0, 35.7, 1.244507, 4095.000000, 1, 2.94079497, 3.04271398, 2.20402193, 1.35896037, 1.10063872, 0.50043557, 2.20474038, 1.20442280, 1.05691455, 1.47530318, 2.20439663, 0.89272992, 1.01243116, 0.96334327, 2.20678874, 0.64179920, 1.98522562, 0.97858196, 2.20740494, 1.00683376, 0.76818361, 0.81043955, 2.20745441, 1.17623310, 1.82522792, 1.36419699, 2.20747493, 1.14705550, 1.06322974, 0.80981200, 2.20751072, 0.71099755
1264.300000, 128, 0, 0, 35.7, 1.243286, 4095.000000, 1, 2.94088728, 3.04302282, 2.20516830, 1.35898786, 1.10059882, 0.50043003, 2.20681136, 1.20441965, 1.05689152, 1.47532516, 2.20710392, 0.89271330, 1.01244740, 0.96337450, 2.20741809, 0.64181960, 1.98520568, 0.97857593, 2.20529133, 1.00678771, 0.76817332, 0.81043783, 2.20481187, 1.17621671, 1.82523758, 1.36424558, 2.20672245, 1.14709805, 1.06314970, 0.80981741, 2.20514464, 0.71099410
1264.900000, 128, 0, 0, 35.7, 1.243896, 4095.000000, 1, 2.94082431, 3.04302729, 2.20671982, 1.35896759, 1.10063961, 0.50042468, 2.20733389, 1.20444858, 1.05691886, 1.47536655, 2.20736599, 0.89271512, 1.01241995, 0.96341008, 2.20531814, 0.64181456, 1.98524081, 0.97856551, 2.20693396, 1.00681004, 0.76818720, 0.81042799, 2.20533287, 1.17624176, 1.82531268, 1.36429140, 2.20454484, 1.14713331, 1.06318958, 0.80984594, 2.20468413, 0.71100238
1265.400000, 128, 0, 0, 35.7, 1.244507, 4095.000000, 1, 2.94098603, 3.04282933, 2.20645046, 1.35902839, 1.10076436, 0.50046926, 2.20515936, 1.20446399, 1.05700983, 1.47535849, 2.20703972, 0.89274186, 1.01243984, 0.96340438, 2.20742651, 0.64183759, 1.98523322, 0.97858251, 2.20753441, 1.00680251, 0.76818385, 0.81045997, 2.20761915, 1.17626186, 1.82536758, 1.36430897, 2.20531814, 1.14712632, 1.06312543, 0.80982135, 2.20469727, 0.71100653
1266.000000, 128, 0, 0, 35.7, 1.243896, 4095.000000, 1, 2.94101895, 3.04285984, 2.20653147, 1.35899885, 1.10070937, 0.50052157, 2.20757441, 1.20442028, 1.05694276, 1.47538047, 2.20740441, 0.89270707, 1.01245244, 0.96337830, 2.20729968, 0.64183167, 1.98520663, 0.97852932, 2.20741809, 1.00677041, 0.76816639, 0.81042405, 2.20787338, 1.17620465, 1.82531707, 1.36419906, 2.20736757, 1.14699137, 1.06308295, 0.80980290, 2.20752335, 0.71096994
1266.500000, 128, 0, 0, 35.7, 1.243896, 4095.000000, 1, 2.94097673, 3.04295658, 2.20720654, 1.35891640, 1.10062010, 0.50046747, 2.20758704, 1.20440110, 1.05686993, 1.47535630, 2.20505421, 0.89268137, 1.01238019, 0.96335494, 2.20688976, 0.64179525, 1.98520236, 0.97850107, 2.20465838, 1.00675813, 0.76817237, 0.81042946, 2.20664195, 1.17621887, 1.82537548, 1.36430760, 2.20733284, 1.14707130, 1.06312427, 0.80985308, 2.20544644, 0.71099042
