source,distance_bin,channel,q25,median,q75,session_count,encounter_count,supported
lavender,0,S1,0.00046189626057942707,0.006474259164598255,0.01695978335845165,4,20,True
lavender,0,S10,-2.2286023849096055e-05,1.940131187438965e-05,0.00010065960161613698,4,20,True
lavender,0,S11,-0.0013474225997924805,-0.00010126829147338867,0.00036294119698660713,4,20,True
lavender,0,S12,-7.960432535642158e-05,0.0004062268469068739,0.0011112132133581699,4,20,True
lavender,0,S13,-6.181853158133373e-05,0.0003746615515814887,0.0011653945996211125,4,20,True
lavender,0,S14,-5.999671948420538e-05,0.0002709090709686279,0.001012639357493474,4,20,True
lavender,0,S15,-0.0015248349218657522,-0.00014831338609967913,0.00031210075725208634,4,20,True
lavender,0,S16,-3.861800416723474e-05,9.814756257193429e-05,0.0003134024263632418,4,20,True
lavender,0,S17,-0.0002652623436667703,0.0008520526545388358,0.003177986695216253,4,20,True
lavender,0,S18,-0.0001001760557100371,0.0004628236804689678,0.00159571186090127,4,20,True
lavender,0,S19,-0.0005097256766425236,0.00017319887112348512,0.0007577951137836163,4,20,True
lavender,0,S2,0.0001903931299845377,0.005180086029900448,0.01588544784448086,4,20,True
lavender,0,S20,-3.892260712462583e-05,0.0006028917100694447,0.002261534715310122,4,20,True
lavender,0,S21,-6.138616138034399e-06,0.00019430933576641664,0.0008460497244810448,4,20,True
lavender,0,S22,-4.9255111000754695e-06,0.00041627221637301984,0.0009102613636941621,4,20,True
lavender,0,S23,-0.0007834976369684391,3.804457493317433e-05,0.0007681142200123184,4,20,True
lavender,0,S24,0.00015933385917118618,0.0015061232778761148,0.0021407789998240286,4,20,True
lavender,0,S25,0.0001206065153146719,0.0005397668906620574,0.0014350569093382207,4,20,True
lavender,0,S26,0.00036687297480446953,0.004619508981704723,0.007561386835695518,4,20,True
lavender,0,S27,-0.0007460887986000141,-0.00012428110296076,0.0002469539642333984,4,20,True
lavender,0,S28,-0.00010805393194223396,0.001383086045583089,0.003621912363803748,4,20,True
lavender,0,S29,0.00010318623648749457,0.0018545283211602126,0.004527099204785897,4,20,True
lavender,0,S3,-0.0010485819407871797,8.123043255928237e-05,0.0008776946501298373,4,20,True
lavender,0,S30,-3.716018464830189e-06,0.0001691910955641005,0.0003341383404201932,4,20,True
lavender,0,S31,-0.0005082433873956856,0.00018861354925693607,0.0006713377577917914,4,20,True
lavender,0,S32,0.0001207579459462847,0.00051994456185235,0.001142518860953195,4,20,True
lavender,0,S4,-0.00022854123796735472,0.00254817803700765,0.006941556930541994,4,20,True
lavender,0,S5,-0.0002371072769165039,0.00011935404368809303,0.0010077754656473798,4,20,True
lavender,0,S6,-1.1645257472991943e-05,-1.1580876815013432e-06,1.1122475067774454e-05,4,20,True
lavender,0,S7,-0.001276871893141005,-0.00027080449191006756,0.0008142760821751169,4,20,True
