session,cell_id,paper_x_cm,paper_y_cm,channel,visit_count,temporal_span_s,visit_scaled_mad_kohm,normalized_dispersion
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S1,5,289.606,0.0015779319763183594,0.11574662276039102
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S2,5,289.606,0.000497345495223999,0.03811097417284017
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S3,5,289.606,0.0007974494934082031,1.4003724394785848
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S4,5,289.606,0.0022394686460494996,0.29910535136793903
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S5,5,289.606,0.0012477822303771972,0.8291250733998825
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S6,5,289.606,2.0280879735946653e-05,0.42265193370165743
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S7,5,289.606,0.001221271276473999,1.6051103368176538
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S8,5,289.606,0.0015880061388015747,1.0418599257884973
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S9,5,289.606,0.00047984826564788813,0.20255147717099373
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S10,5,289.606,0.00017567925453186033,1.1250707413695529
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S11,5,289.606,0.0001523496150970459,0.2462857142857143
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S12,5,289.606,0.0007424834489822387,0.6014746939652087
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S13,5,289.606,0.0005100707530975342,0.42447418738049714
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S14,5,289.606,0.00038343676328659053,0.3787534916201117
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S15,5,289.606,0.00011629471778869629,0.19206071220081727
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S16,5,289.606,0.0002197758078575134,0.6240120436582611
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S17,5,289.606,0.002243003439903259,0.6135957066189625
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S18,5,289.606,0.001294353139400482,0.7232372111396406
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S19,5,289.606,0.000165428352355957,0.26804123711340205
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S20,5,289.606,0.001039936351776123,0.5066953713670614
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S21,5,289.606,0.0005657437562942505,0.7422608695652174
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S22,5,289.606,0.0002277290940284729,0.3115328820116054
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S23,5,289.606,0.0005397630214691162,0.7798774259448417
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S24,5,289.606,1.237177848815918e-05,0.008259587020648967
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S25,5,289.606,0.0006256585121154785,0.5444478621962473
mint-only-horizontal-run01,365,10.451273918151855,-10.071891784667969,S26,5,289.606,0.002677252864837646,0.5343963874973541
