session,channel,q01_kohm,q25_kohm,median_kohm,q75_kohm,q99_kohm
mint-only-horizontal-run01,S1,2.927653851509094,2.931700050830841,2.938992500305176,2.9537086486816406,3.0152543926239015
mint-only-horizontal-run01,S2,3.0458838891983033,3.0497967004776,3.057017683982849,3.070952892303467,3.1235093665122986
mint-only-horizontal-run01,S3,2.2041881799697878,2.2050992250442505,2.207214117050171,2.2074776887893677,2.2078656363487243
mint-only-horizontal-run01,S4,1.347960925102234,1.3513484001159668,1.3561438918113708,1.3627804815769196,1.388022357225418
mint-only-horizontal-run01,S5,1.1005471515655518,1.1025143265724182,1.1037112474441528,1.1049242317676544,1.1085159158706666
mint-only-horizontal-run01,S6,0.48218009442090987,0.4822794944047928,0.4823112338781357,0.4823419228196144,0.48242054849863053
mint-only-horizontal-run01,S7,2.2044504380226133,2.205511450767517,2.207472562789917,2.207868456840515,2.208316025733948
mint-only-horizontal-run01,S8,1.1901423883438111,1.1928181052207947,1.1941543221473694,1.1952246725559235,1.1988645660877228
mint-only-horizontal-run01,S9,1.0469681429862976,1.0481236577033997,1.0495976209640503,1.051812320947647,1.058701331615448
mint-only-horizontal-run01,S10,1.5004105699062347,1.500549554824829,1.500663697719574,1.5007798373699188,1.5011626291275024
mint-only-horizontal-run01,S11,2.204275448322296,2.2053595185279846,2.2073038816452026,2.2076792120933533,2.2080410289764405
mint-only-horizontal-run01,S12,0.888487253189087,0.8896600753068924,0.8905702829360962,0.8915744423866272,0.8946634441614151
mint-only-horizontal-run01,S13,1.0079016709327697,1.0089443624019623,1.0097800493240356,1.0107999742031097,1.0139908254146577
mint-only-horizontal-run01,S14,0.9578744745254517,0.9584958404302597,0.9592165946960449,0.96007439494133,0.9627986061573028
mint-only-horizontal-run01,S15,2.204466586112976,2.205459952354431,2.2074086666107178,2.2077397108078003,2.2081129646301267
mint-only-horizontal-run01,S16,0.6389214569330215,0.6391822099685669,0.6394406855106354,0.639734759926796,0.6407067370414734
mint-only-horizontal-run01,S17,1.9792774164676665,1.9823267459869385,1.984800100326538,1.9879235923290253,1.9994477450847625
