pca_fit,channel,PC1_loading,PC2_loading,PC3_loading
global,S1,0.1877514826755983,0.051915291233678176,0.27667612634358435
global,S2,0.19625372503484306,0.05041167378011621,0.23698106165595328
global,S3,-0.03146216342789844,0.33355768498897753,-0.03578746971339454
global,S4,0.21197506844476308,0.042013832200476116,0.13892105810458277
global,S5,0.20379512926811696,-0.004620852413418722,-0.2299256203632475
global,S6,-0.05363677459376994,0.07936903258622428,0.4804288894626089
global,S7,-0.03724472073255136,0.34682720566393027,-0.05514252450093221
global,S8,0.198679179848459,0.006603054700075671,-0.21489704495203799
global,S9,0.18618951850017199,0.06543080065251095,0.32139134688107523
global,S10,0.20665236505205548,0.00823266016202982,-0.03899083923911408
global,S11,-0.03676769573205558,0.3499067722650204,-0.052768338652552024
global,S12,0.21774545267075304,0.03730198776535221,0.03295057229104783
global,S13,0.22006780166304632,0.013105752590173768,-0.04294781540025825
global,S14,0.21991965246940492,0.01616045567978968,0.03189724683142685
global,S15,-0.036574199313272146,0.3508253524975461,-0.050908081250109115
global,S16,0.218716245145716,-0.00023325496136093293,-0.06562401022852941
global,S17,0.21697011418922765,0.02202436799075123,0.02082303159985749
global,S18,0.21803425894418352,0.014365031294675302,-0.07559134296541237
global,S19,-0.03624444216228743,0.3510951169437215,-0.049425793998082265
global,S20,0.21960219990940386,0.03111224534099035,0.04804399702811397
global,S21,0.21981846373248057,0.011568186583010585,-0.06221660197533042
global,S22,0.21313665104112142,0.038048473972586865,0.13073173160756935
global,S23,-0.03730289298121973,0.34839515126004683,-0.05475663606840602
global,S24,0.17386378623544282,0.06174725476828533,0.32688995994043263
global,S25,0.19985146922595973,-0.02591967200341756,-0.23064138204972542
global,S26,0.21200801229232577,0.047008955147476876,0.13885881357122554
global,S27,-0.036527479028492835,0.35058791809421896,-0.05131635325526976
global,S28,0.20588890816161998,0.022690918112744908,-0.1496277069224547
global,S29,0.219020181458784,0.01828714246100619,-0.05691293089673897
global,S30,0.17276831781949084,-0.04084805183250436,-0.38313906484391536
global,S31,-0.0363916855428502,0.35054287583694194,-0.050503643879750676
global,S32,0.21367759750384818,0.022476395164069587,-0.05973478078038627
mint-only-horizontal-run01,S1,0.20070570325413048,0.03559910157354043,0.03023732663058306
mint-only-horizontal-run01,S2,0.20388537699734122,0.03183519863805332,0.028529247213007723
mint-only-horizontal-run01,S3,0.0016886791374312554,0.26496731496315135,-0.2310306481835734
mint-only-horizontal-run01,S4,0.21209001132956723,0.025275374607047197,0.023791158769093355
mint-only-horizontal-run01,S5,0.2020379983551472,-0.02955282003121921,-0.013176855574735155
mint-only-horizontal-run01,S6,0.05979630311023578,0.148796152595158,-0.014383937989240762
mint-only-horizontal-run01,S7,-0.0037702656584648504,0.43384856706106406,-0.3031236694230006
mint-only-horizontal-run01,S8,0.19076235668362942,-0.055072718258297765,-0.024371451459737258
mint-only-horizontal-run01,S9,0.20768464750834537,0.03469989508720399,0.02876872162829987
mint-only-horizontal-run01,S10,0.19595408897649952,0.04371881739944438,0.006340417628022781
mint-only-horizontal-run01,S11,-0.002237933176653275,0.43722937863696537,-0.25301561161300695
mint-only-horizontal-run01,S12,0.21691593974569526,-0.0019436782544265398,0.004756122669524262
mint-only-horizontal-run01,S13,0.2173097614995776,-0.00014201819842252873,0.009594366005832113
mint-only-horizontal-run01,S14,0.21620402672138347,0.014318425980033555,0.015175036279718902
mint-only-horizontal-run01,S15,0.0018622622408920482,0.47251214179899126,-0.1131100902883434
mint-only-horizontal-run01,S16,0.21591896293582488,0.0146519558285759,0.010864903676588026
mint-only-horizontal-run01,S17,0.21560808923785965,0.0059689244813435,0.0053242488952211856
mint-only-horizontal-run01,S18,0.21528255148039374,-0.009379713278350923,-0.0028058163117929955
mint-only-horizontal-run01,S19,-0.00039166316713484827,0.41236213554308254,0.21608747808154397
mint-only-horizontal-run01,S20,0.21767568054506659,0.0071184527452731045,0.009115991199463094
mint-only-horizontal-run01,S21,0.21801182126994972,0.0017633338576628801,0.00378255755188699
mint-only-horizontal-run01,S22,0.21044396140712418,0.017887706636897115,0.014441967857571706
mint-only-horizontal-run01,S23,-0.018493653908478885,0.27901993976149475,0.45424406743770773
mint-only-horizontal-run01,S24,0.18230083217655688,0.030114891659167024,0.022314481134801646
mint-only-horizontal-run01,S25,0.20869253212729347,-0.037332901291003695,-0.007192077768496563
mint-only-horizontal-run01,S26,0.21309983462291968,0.012614484896832949,0.009497815714892872
mint-only-horizontal-run01,S27,-0.015580090321172295,0.17664141955244872,0.5566230988256745
mint-only-horizontal-run01,S28,0.20291481767956596,-0.03597994560019659,-0.021826849174031
mint-only-horizontal-run01,S29,0.2163982793736398,-0.00754983009535505,-0.004733315123845008
mint-only-horizontal-run01,S30,0.19185709248181287,-0.0699269744342434,-0.030414986892927518
mint-only-horizontal-run01,S31,-0.011960960387772853,0.07462735181894321,0.4559258841076063
mint-only-horizontal-run01,S32,0.208358999651645,-0.027581198049619515,-0.013978753554287788
caret-mint-left-lavender-right-run01,S1,0.18707229574306872,0.028868425927815612,0.019984585886266882
caret-mint-left-lavender-right-run01,S2,0.19411546674007274,0.026745922779827843,0.017262410609792014
caret-mint-left-lavender-right-run01,S3,-0.009494795674743728,0.26907963157425674,-0.2375778130997192
caret-mint-left-lavender-right-run01,S4,0.20820873341074936,0.016375136028718908,0.011159476548432141
caret-mint-left-lavender-right-run01,S5,0.2037892901051423,-0.010899713103305442,-0.011043056519433473
caret-mint-left-lavender-right-run01,S6,0.14753393892435462,-0.02498504130642037,0.04584525383730631
caret-mint-left-lavender-right-run01,S7,-0.006408587804070926,0.356358379141477,-0.30614554255032755
caret-mint-left-lavender-right-run01,S8,0.19583987816958118,-0.019792127925112726,-0.013776095470591495
caret-mint-left-lavender-right-run01,S9,0.20129839048898918,0.023900427050133562,0.015153776132453473
caret-mint-left-lavender-right-run01,S10,0.20432866508219383,0.002832628847876073,0.016037621182675016
caret-mint-left-lavender-right-run01,S11,-0.006025627688225618,0.4419878384027238,-0.2837985996061643
caret-mint-left-lavender-right-run01,S12,0.21446851525662397,0.00041820886485655805,-0.00028929738533323314
caret-mint-left-lavender-right-run01,S13,0.21454842542826302,0.0036455558840143005,-0.0022568231385731033
caret-mint-left-lavender-right-run01,S14,0.21441269809845886,0.007617825960063661,0.001827067951266282
caret-mint-left-lavender-right-run01,S15,-0.002092375174774042,0.4386259300786426,-0.2232333190272394
caret-mint-left-lavender-right-run01,S16,0.2143196461739622,0.002329001762946319,-0.00018032184746708584
caret-mint-left-lavender-right-run01,S17,0.21145877037382238,0.004898925509948794,0.005530041900216121
caret-mint-left-lavender-right-run01,S18,0.2130928047987074,-0.0031726773648914,-0.0024125642853215327
caret-mint-left-lavender-right-run01,S19,0.003711442478471912,0.4341262207325661,0.02853450165638741
caret-mint-left-lavender-right-run01,S20,0.21481380088048097,0.006142689559971571,0.001343819467173462
caret-mint-left-lavender-right-run01,S21,0.21470576556732113,0.0009145862720518635,-0.0026125352769471874
caret-mint-left-lavender-right-run01,S22,0.20965786178767537,0.011999821341103832,0.004679391657835001
caret-mint-left-lavender-right-run01,S23,-0.008362330277533796,0.3352546658218489,0.4376885536972571
caret-mint-left-lavender-right-run01,S24,0.1878973121951308,0.023202779112803135,0.004239065785276003
caret-mint-left-lavender-right-run01,S25,0.20846384234313534,-0.0026029312804374616,-0.015077963952488067
caret-mint-left-lavender-right-run01,S26,0.2111116631977186,0.007710918828062211,0.0014659416583203
caret-mint-left-lavender-right-run01,S27,-0.00607655523721856,0.27076160089762863,0.5623553513829389
caret-mint-left-lavender-right-run01,S28,0.20172939985913788,-0.01867259699641714,-0.012171889228812021
caret-mint-left-lavender-right-run01,S29,0.2137996756579268,-0.0017292383378225463,-0.006252004108302703
caret-mint-left-lavender-right-run01,S30,0.19033704582279362,-0.017200519423320376,-0.02664988482263303
caret-mint-left-lavender-right-run01,S31,-0.0087063378851138,0.18302749205674118,0.45346954259789357
caret-mint-left-lavender-right-run01,S32,0.2084762380111489,-0.010495075133218885,-0.01583056712376364
caret-lavender-left-mint-right-run01,S1,0.1924274915913925,0.005897761535155071,-0.31592492150405715
