source,leg,sample_offset,channel,q25,median,q75,session_count,encounter_count
lavender,entry,-9,S1,-0.016091888601129707,-0.008958578109741211,0.014517704645792657,4,20
lavender,entry,-9,S10,-0.00017475656100681856,1.4305114746092734e-06,6.104960586085463e-05,4,20
lavender,entry,-9,S11,-0.0026966311714865946,-0.0002136760287814671,0.00028028271415016855,4,20
lavender,entry,-9,S12,-0.0014869070478848048,-0.0007084824822165749,0.00019576549530029316,4,20
lavender,entry,-9,S13,-0.00143229535647801,-0.0007779489864002574,0.00021940867106119805,4,20
lavender,entry,-9,S14,-0.0012009319933977995,-0.0006072383660536546,0.00016146500905354832,4,20
lavender,entry,-9,S15,-0.00036687510354178296,9.472081155487987e-05,0.00045752525329589844,4,20
lavender,entry,-9,S16,-0.0004360132983752659,-0.00017244999225323008,8.708635965983094e-05,4,20
lavender,entry,-9,S17,-0.004410656435149056,-0.001293063163757323,0.0006488521893819203,4,20
lavender,entry,-9,S18,-0.002033645553248269,-0.001116942275654186,1.3848145802825658e-06,4,20
lavender,entry,-9,S19,3.569776361638839e-05,0.0002976005727594549,0.0005043234143938337,4,20
lavender,entry,-9,S2,-0.01263892650604248,-0.009183466434478753,0.011237469586459086,4,20
lavender,entry,-9,S20,-0.002516716718673706,-0.001160108126126802,0.0002968589464823421,4,20
lavender,entry,-9,S21,-0.0009273961186408997,-0.0004912181334062057,0.00012585719426472992,4,20
lavender,entry,-9,S22,-0.0009084716439247131,-0.00044306424947885355,6.24801173354642e-05,4,20
lavender,entry,-9,S23,0.00010007511485706676,0.00025029770739666817,0.0005996985868974165,4,20
lavender,entry,-9,S24,-0.0019911701028997248,-0.0008547774382999963,0.00035563020995169216,4,20
lavender,entry,-9,S25,-0.001568838803455083,-0.001424504177910941,-9.746948877970384e-05,4,20
lavender,entry,-9,S26,-0.006972059607505798,-0.0034605631461510286,0.0013708631197611588,4,20
lavender,entry,-9,S27,-0.0005209048589070657,0.00038987506519664407,0.0005793788216330787,4,20
lavender,entry,-9,S28,-0.005210024969918388,-0.003389779004183683,2.2470951080322266e-05,4,20
lavender,entry,-9,S29,-0.005272196871893746,-0.002885616742647611,-0.00018207629521687778,4,20
lavender,entry,-9,S3,-0.002625326057533165,-7.752938704057217e-05,0.0005746429616754702,4,20
lavender,entry,-9,S30,-0.0005481730807911266,-0.0002807857734816415,-4.6253204345703e-05,4,20
lavender,entry,-9,S31,-0.002097841981169465,0.0001543806744860364,0.00039313056252219457,4,20
lavender,entry,-9,S32,-0.0012977673457219051,-0.0008133790709755638,-0.00020062923431396484,4,20
lavender,entry,-9,S4,-0.009451523423194885,-0.0043459763893714315,0.002675265976876924,4,20
lavender,entry,-9,S5,-0.001875009292211288,-0.0012658027687458076,7.82012939453125e-05,4,20
lavender,entry,-9,S6,-8.378550410270691e-05,-1.758337020874023e-05,6.006314204289414e-06,4,20
lavender,entry,-9,S7,-0.002501731569116766,-0.0018901066346602006,-0.00011785309036056805,4,20
lavender,entry,-9,S8,-0.0019920793446627535,-0.0013567425987937236,-0.00039303302764892627,4,20
lavender,entry,-9,S9,-0.002672120928764344,-0.0014681541002713717,0.0011839613769993645,4,20
lavender,entry,-8,S1,-0.018254029445159126,-0.006172980581011089,0.007297563552856453,4,20
lavender,entry,-8,S10,-0.00018264991896493093,-5.3231532757098846e-05,9.894371032714966e-06,4,20
lavender,entry,-8,S11,-0.0004922677944232891,-0.00013160705566406234,0.0002510547637939454,4,20
lavender,entry,-8,S12,-0.0016410829765456064,-0.0009669726545160468,-7.441441218058279e-05,4,20
lavender,entry,-8,S13,-0.001558844532285418,-0.0009808800437233667,1.3597806294758931e-05,4,20
lavender,entry,-8,S14,-0.0011989250779151919,-0.0007830446416681463,0.00022229750951131147,4,20
lavender,entry,-8,S15,-0.0023194659839976916,0.0002810846675526014,0.00048819455233487224,4,20
lavender,entry,-8,S16,-0.0004851147532463074,-0.0002923120151866566,4.462401072184279e-05,4,20
lavender,entry,-8,S17,-0.004855541246277946,-0.002371993931857022,0.0010898629824320535,4,20
lavender,entry,-8,S18,-0.002148654844079699,-0.0014825474132191053,-0.00024768710136413596,4,20
lavender,entry,-8,S19,-0.00016992432730538517,0.000398375771262429,0.0005621982343269117,4,20
lavender,entry,-8,S2,-0.018191239772698816,-0.007064410618373327,0.005843257904052738,4,20
lavender,entry,-8,S20,-0.0027152001857757573,-0.0016506650231101299,0.0003206610679626463,4,20
lavender,entry,-8,S21,-0.000976968024458204,-0.0006570425900545988,-5.07831573486344e-06,4,20
lavender,entry,-8,S22,-0.0008358731865882876,-0.0005054351611015125,0.00013162493705749497,4,20
lavender,entry,-8,S23,-0.0006988156925548216,0.0004309415817260742,0.0005224473548657966,4,20
lavender,entry,-8,S24,-0.001828610897064209,-0.001020339819101187,0.0006299491052503714,4,20
lavender,entry,-8,S25,-0.0017712288432651096,-0.0013977533731705104,-0.00029534101486206055,4,20
lavender,entry,-8,S26,-0.006717130541801454,-0.0044540472519703405,0.0004753311475117996,4,20
lavender,entry,-8,S27,-0.001819928487141927,0.00028871406208385116,0.0003384893590753728,4,20
lavender,entry,-8,S28,-0.005577601395644152,-0.004022540468158144,-0.00019186735153198242,4,20
lavender,entry,-8,S29,-0.005527743271418981,-0.003613766756924716,-0.00106889009475708,4,20
lavender,entry,-8,S3,-0.002620768237423587,4.2431282274650825e-05,0.0003201007843017578,4,20
lavender,entry,-8,S30,-0.0006014018347769072,-0.00031197603259767797,-8.070468902587843e-05,4,20
lavender,entry,-8,S31,-0.002062371282866507,1.9474463029341252e-05,0.00031282685019753156,4,20
lavender,entry,-8,S32,-0.0015926480293273926,-0.0009077865668017455,-0.00029098987579345703,4,20
lavender,entry,-8,S4,-0.008586779236793522,-0.004938332097870963,0.0022457718849182152,4,20
lavender,entry,-8,S5,-0.0020447470925071026,-0.0015466135817688781,-0.0002480745315551758,4,20
lavender,entry,-8,S6,-6.575297032083784e-05,-2.3905978058323715e-05,1.3709068298339844e-06,4,20
lavender,entry,-8,S7,-0.002465676177631725,-0.0018758412563439572,0.00028523531827059597,4,20
lavender,entry,-8,S8,-0.0020928653803738684,-0.001474020697853782,-0.0007240772247314453,4,20
lavender,entry,-8,S9,-0.0024275928735733045,-0.001499459147453308,0.0009012579917907725,4,20
lavender,entry,-7,S1,-0.016577131097966973,-0.011324216157962114,0.0035481762576412878,4,20
lavender,entry,-7,S10,-0.00015181303024291992,-0.00010143793546236478,7.247924804687534e-06,4,20
lavender,entry,-7,S11,-0.0001116611740805886,0.00023242921540231418,0.00039672129081957263,4,20
lavender,entry,-7,S12,-0.0017451628660544371,-0.0010747603881053436,-0.0002048412958780922,4,20
lavender,entry,-7,S13,-0.0016413621413402068,-0.0011520018944373499,-0.00011610190073649068,4,20
lavender,entry,-7,S14,-0.0013159559323237492,-0.0009190669426551232,-9.015003840128573e-05,4,20
lavender,entry,-7,S15,-0.0014000426639210089,0.00015768137845126063,0.0004945234818892045,4,20
lavender,entry,-7,S16,-0.0004899287835145608,-0.0003125132658542731,-1.0995070139567005e-05,4,20
lavender,entry,-7,S17,-0.004842849714415415,-0.0031043247743086384,0.000591274102528889,4,20
lavender,entry,-7,S18,-0.002402413373041635,-0.0016439849680120295,-0.0005684196949005127,4,20
lavender,entry,-7,S19,-0.0021941445090553975,-0.00016459242090002276,0.0005352930589155717,4,20
lavender,entry,-7,S2,-0.01608825596896085,-0.01132671649639423,0.002163883927580601,4,20
lavender,entry,-7,S20,-0.002653128450567072,-0.001891930898030599,-0.0002134839693705239,4,20
lavender,entry,-7,S21,-0.001006915019108699,-0.0006943666017972507,-3.640651702880844e-05,4,20
lavender,entry,-7,S22,-0.0008870211514559659,-0.0006525715192159017,-0.00014947454134623208,4,20
lavender,entry,-7,S23,-0.0025779810818758876,-6.971937237363055e-07,0.000434832139448686,4,20
lavender,entry,-7,S24,-0.0017425537109375,-0.0013998349507649739,-4.980703452964858e-05,4,20
lavender,entry,-7,S25,-0.001772111886507505,-0.0012426716940743584,-0.00046902894973754883,4,20
lavender,entry,-7,S26,-0.006744731556285511,-0.005047079844352527,-0.0013483564058939614,4,20
