session,channel,raw_vmin_kohm,raw_vmax_kohm,robust_vmin,robust_vmax
caret-lavender-left-mint-right-run01,S18,0.976205811385255,0.9874267641917687,-3.0,3.0
lavender-only-horizontal-run01,S18,0.976205811385255,0.9874267641917687,-3.0,3.0
inverted-caret-lavender-left-mint-right-run01,S18,0.976205811385255,0.9874267641917687,-3.0,3.0
mint-only-horizontal-run01,S19,1.5156265854835511,2.2079080204860153,-3.0,3.0
caret-mint-left-lavender-right-run01,S19,1.5156265854835511,2.2079080204860153,-3.0,3.0
caret-lavender-left-mint-right-run01,S19,1.5156265854835511,2.2079080204860153,-3.0,3.0
lavender-only-horizontal-run01,S19,1.5156265854835511,2.2079080204860153,-3.0,3.0
inverted-caret-lavender-left-mint-right-run01,S19,1.5156265854835511,2.2079080204860153,-3.0,3.0
mint-only-horizontal-run01,S20,1.0029110538672454,1.0152117195459385,-3.0,3.0
caret-mint-left-lavender-right-run01,S20,1.0029110538672454,1.0152117195459385,-3.0,3.0
caret-lavender-left-mint-right-run01,S20,1.0029110538672454,1.0152117195459385,-3.0,3.0
lavender-only-horizontal-run01,S20,1.0029110538672454,1.0152117195459385,-3.0,3.0
inverted-caret-lavender-left-mint-right-run01,S20,1.0029110538672454,1.0152117195459385,-3.0,3.0
mint-only-horizontal-run01,S21,0.7655886933598179,0.7704472155659978,-3.0,3.0
caret-mint-left-lavender-right-run01,S21,0.7655886933598179,0.7704472155659978,-3.0,3.0
caret-lavender-left-mint-right-run01,S21,0.7655886933598179,0.7704472155659978,-3.0,3.0
lavender-only-horizontal-run01,S21,0.7655886933598179,0.7704472155659978,-3.0,3.0
inverted-caret-lavender-left-mint-right-run01,S21,0.7655886933598179,0.7704472155659978,-3.0,3.0
mint-only-horizontal-run01,S22,0.8101108194067695,0.814184215710483,-3.0,3.0
caret-mint-left-lavender-right-run01,S22,0.8101108194067695,0.814184215710483,-3.0,3.0
caret-lavender-left-mint-right-run01,S22,0.8101108194067695,0.814184215710483,-3.0,3.0
lavender-only-horizontal-run01,S22,0.8101108194067695,0.814184215710483,-3.0,3.0
inverted-caret-lavender-left-mint-right-run01,S22,0.8101108194067695,0.814184215710483,-3.0,3.0
