host_timestamp_utc,elapsed_s,camera_timestamp_ms,frame_number,visible_cube_faces,num_snout_estimates,snout_cam_x_m,snout_cam_y_m,snout_cam_z_m,snout_desk_x_m,snout_desk_y_m,snout_desk_z_m,delta_from_baseline_cm,delta_x_cm,delta_y_cm,delta_z_cm
2026-07-17T21:17:02.533+00:00,11.53129,1784323022489.917,330,0;2,2,0.2758233728295422,-0.26173924358264283,0.28640034121288455,0.49150976232232013,-0.524197599847086,-0.44790804514096105,,,,
2026-07-17T21:17:02.567+00:00,11.565013,1784323022523.257,331,2,1,0.2315227598476959,-0.19854036369618389,0.24903557713965713,0.4855003437227108,-0.45051284801650726,-0.49135010493880016,,,,
2026-07-17T21:17:02.599+00:00,11.59805,1784323022556.598,332,0;2,2,0.2764591984685391,-0.26124023163376264,0.2864516996752221,0.4923067872392862,-0.5240718248649195,-0.4478383544272263,,,,
2026-07-17T21:17:02.634+00:00,11.631518,1784323022589.938,333,2,1,0.232944032264636,-0.19507839219339207,0.24783561986185498,0.4884857689982657,-0.44829606972926245,-0.49262222497524544,,,,
2026-07-17T21:17:02.666+00:00,11.664771,1784323022623.279,334,0;2,2,0.27830512156632753,-0.26536850653032595,0.29152916249418237,0.4916965990390737,-0.5281673429660486,-0.44244529256719595,,,,
2026-07-17T21:17:02.699+00:00,11.698384,1784323022656.62,335,2,1,0.2392591898469985,-0.20021263368721548,0.25630769562115396,0.4911447185865183,-0.45519158946854055,-0.4834898915773329,,,,
2026-07-17T21:17:02.733+00:00,11.731861,1784323022689.96,336,2,1,0.24107888186460058,-0.1978633783562317,0.26055698846480646,0.47545614394248226,-0.4748527616338012,-0.48508615284863943,,,,
2026-07-17T21:17:02.765+00:00,11.764362,1784323022723.3,337,2,1,0.24107888186460058,-0.1978633783562317,0.26055698846480646,0.49373706069184775,-0.4537138987071589,-0.4792492593434721,,,,
2026-07-17T21:17:02.800+00:00,11.798342,1784323022756.64,338,2,1,0.24540341105048072,-0.19867103099814087,0.26390248720424037,0.4969800150230305,-0.4562746132367539,-0.47557880901839616,,,,
2026-07-17T21:17:02.833+00:00,11.832051,1784323022789.981,339,2,1,0.2392591898469985,-0.20021263368721548,0.25630769562115396,0.4911447185865183,-0.45519158946854055,-0.4834898915773329,,,,
2026-07-17T21:17:02.867+00:00,11.864956,1784323022823.321,340,2,1,0.2262021031800773,-0.19170650525187774,0.23876371865934398,0.4588376851718166,-0.44534463571110117,-0.5306950004472195,,,,
2026-07-17T21:17:02.900+00:00,11.898295,1784323022856.662,341,2,1,0.2262021031800773,-0.19170650525187774,0.23876371865934398,0.48460721443126,-0.44276822862331466,-0.5022929233954139,,,,
2026-07-17T21:17:02.934+00:00,11.931648,1784323022890.002,342,0;2,2,0.2778683464511995,-0.2621916753329933,0.2873476314165413,0.49303064939767627,-0.5255189187512952,-0.4468012528436722,,,,
2026-07-17T21:17:02.966+00:00,11.965364,1784323022923.343,343,0;2,2,0.2754706883649294,-0.26419411404772886,0.28821373925156163,0.489928559281227,-0.52601588217984,-0.4460020456446751,,,,
2026-07-17T21:17:02.999+00:00,11.998011,1784323022956.684,344,0;2,2,0.2773815184683369,-0.26307381249689865,0.28752350972964974,0.4734958708318344,-0.5463611880610395,-0.4507324384416593,,,,
2026-07-17T21:17:03.032+00:00,12.03112,1784323022990.024,345,2,1,0.23027176996924403,-0.1993460611252712,0.24882325120053378,0.48402298260437837,-0.450616014724063,-0.4916069455199847,,,,
2026-07-17T21:17:03.066+00:00,12.065148,1784323023023.365,346,0;2,2,0.2780223719630178,-0.26387255944241444,0.2905567055768691,0.49222301533589274,-0.5268052258522851,-0.4435087775623271,,,,
2026-07-17T21:17:03.099+00:00,12.09849,1784323023056.705,347,0;2,2,0.2780223719630178,-0.26387255944241444,0.2905567055768691,0.49273436553914646,-0.5345199781487057,-0.4096583958198148,,,,
