"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B210423113 +++ Firmware version: 40.51"
"6/16/2026","4:37 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
5642.400000, 0, 0, 0, 35.7, 1.218262, 4095.000000, 0, 2.93123448, 3.03651294, 2.20753756, 1.35628590, 1.10161806, 0.47598258, 2.20741809, 1.20293588, 1.04378409, 1.47708535, 2.20756283, 0.89017662, 1.01135412, 0.96138953, 2.20775810, 0.64104793, 1.98462192, 0.97781792, 2.20735073, 1.00465220, 0.76781478, 0.80937722, 2.20773442, 1.17044842, 1.82626461, 1.35896724, 2.20756704, 1.14832163, 1.06438195, 0.81014825, 2.20773705, 0.71038511
5643.000000, 0, 0, 0, 35.7, 1.218872, 4095.000000, 0, 2.93137492, 3.03670968, 2.20518302, 1.35634730, 1.10161835, 0.47601819, 2.20714812, 1.20296447, 1.04382778, 1.47712531, 2.20718443, 0.89017170, 1.01132389, 0.96142181, 2.20767073, 0.64103543, 1.98462714, 0.97777873, 2.20786022, 1.00463352, 0.76781383, 0.80937034, 2.20738757, 1.17048387, 1.82628482, 1.35899954, 2.20756230, 1.14830247, 1.06436691, 0.81017728, 2.20768020, 0.71039270
5643.600000, 0, 0, 0, 35.7, 1.220093, 4095.000000, 0, 2.93141200, 3.03669780, 2.20727389, 1.35637371, 1.10164142, 0.47600340, 2.20728337, 1.20303736, 1.04381921, 1.47713668, 2.20736599, 0.89018258, 1.01133285, 0.96140933, 2.20750388, 0.64105626, 1.98465561, 0.97780504, 2.20736652, 1.00467589, 0.76782052, 0.80938337, 2.20785548, 1.17048417, 1.82641005, 1.35911944, 2.20735231, 1.14835114, 1.06438629, 0.81017581, 2.20775231, 0.71040765
5644.100000, 0, 0, 0, 35.7, 1.217651, 4095.000000, 0, 2.93170717, 3.03675200, 2.20734757, 1.35636205, 1.10164556, 0.47600009, 2.20773284, 1.20297829, 1.04380265, 1.47716345, 2.20720969, 0.89021032, 1.01131689, 0.96139522, 2.20530868, 0.64104574, 1.98466036, 0.97781518, 2.20701815, 1.00463854, 0.76781933, 0.80940673, 2.20540280, 1.17051438, 1.82640038, 1.35906893, 2.20485392, 1.14834019, 1.06447333, 0.81017261, 2.20487810, 0.71040029
5644.700000, 128, 0, 0, 35.7, 1.218262, 4095.000000, 1, 2.93149898, 3.03683367, 2.20676033, 1.35643031, 1.10170058, 0.47599426, 2.20776916, 1.20300311, 1.04376153, 1.47713631, 2.20766388, 0.89017092, 1.01135020, 0.96146386, 2.20756756, 0.64104815, 1.98468219, 0.97783327, 2.20749914, 1.00471129, 0.76782148, 0.80944386, 2.20787075, 1.17054089, 1.82665570, 1.35946613, 2.20508523, 1.14880930, 1.06464945, 0.81026634, 2.20506157, 0.71047942
5645.300000, 128, 0, 0, 35.7, 1.217651, 4095.000000, 1, 2.93092297, 3.03674829, 2.20687924, 1.35633803, 1.10233725, 0.47610673, 2.20783285, 1.20322053, 1.04375639, 1.47729949, 2.20776389, 0.89027772, 1.01137287, 0.96149993, 2.20778547, 0.64112225, 1.98488103, 0.97788124, 2.20777126, 1.00464439, 0.76780785, 0.80936493, 2.20800656, 1.17028323, 1.82627911, 1.35856707, 2.20754441, 1.14813183, 1.06426397, 0.81015244, 2.20547536, 0.71027447
5645.800000, 128, 0, 0, 35.7, 1.219482, 4095.000000, 1, 2.92891151, 3.03474963, 2.20436562, 1.35532021, 1.10168165, 0.47611257, 2.20487232, 1.20280991, 1.04332672, 1.47714291, 2.20447652, 0.89005246, 1.01124385, 0.96130625, 2.20468361, 0.64100847, 1.98443164, 0.97771624, 2.20694291, 1.00445377, 0.76773539, 0.80926978, 2.20770126, 1.17010604, 1.82620309, 1.35807496, 2.20732599, 1.14786664, 1.06411073, 0.81015244, 2.20763809, 0.71016384
5646.300000, 128, 0, 0, 35.7, 1.219482, 4095.000000, 1, 2.92797935, 3.03369636, 2.20754493, 1.35464427, 1.10158168, 0.47608493, 2.20553899, 1.20268489, 1.04308610, 1.47712715, 2.20486391, 0.88996434, 1.01113163, 0.96128103, 2.20441607, 0.64099203, 1.98420342, 0.97761868, 2.20685872, 1.00424728, 0.76770717, 0.80921913, 2.20770494, 1.16992733, 1.82607568, 1.35766262, 2.20772547, 1.14766686, 1.06397225, 0.81015194, 2.20790023, 0.71010980
5646.900000, 128, 0, 0, 35.7, 1.218262, 4095.000000, 1, 2.92741053, 3.03313578, 2.20753388, 1.35417859, 1.10171744, 0.47610459, 2.20806184, 1.20263715, 1.04294482, 1.47719461, 2.20748283, 0.88986896, 1.01105188, 0.96122759, 2.20783864, 0.64098106, 1.98411185, 0.97756113, 2.20786917, 1.00419378, 0.76765336, 0.80922602, 2.20741283, 1.16989960, 1.82614422, 1.35759740, 2.20772178, 1.14759966, 1.06390085, 0.81014358, 2.20775494, 0.71008887
5647.500000, 128, 0, 0, 35.7, 1.220703, 4095.000000, 1, 2.92722119, 3.03276732, 2.20524822, 1.35398845, 1.10190321, 0.47618087, 2.20748493, 1.20263149, 1.04284979, 1.47726428, 2.20769915, 0.88984953, 1.01103005, 0.96122759, 2.20790918, 0.64099203, 1.98408908, 0.97750578, 2.20748493, 1.00406004, 0.76763112, 0.80919061, 2.20778969, 1.16981056, 1.82618903, 1.35732349, 2.20791128, 1.14735522, 1.06370804, 0.81012636, 2.20771020, 0.71002448
