"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B210423113 +++ Firmware version: 40.51"
"6/16/2026","4:48 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
6258.400000, 0, 0, 0, 35.8, 1.220093, 4095.000000, 0, 2.92732084, 3.03263462, 2.20724442, 1.35321747, 1.09970340, 0.47445329, 2.20781179, 1.20061272, 1.04107459, 1.47711945, 2.20772757, 0.88890284, 1.01024451, 0.96028886, 2.20781443, 0.64069699, 1.98206049, 0.97601031, 2.20770968, 1.00289309, 0.76727702, 0.80898534, 2.20793655, 1.16886500, 1.82329697, 1.35489857, 2.20502688, 1.14388190, 1.06114534, 0.80963616, 2.20706288, 0.70914099
6259.000000, 0, 0, 0, 35.8, 1.216431, 4095.000000, 0, 2.92740057, 3.03278881, 2.20750125, 1.35326268, 1.09972112, 0.47448205, 2.20558421, 1.20064817, 1.04111335, 1.47712018, 2.20710129, 0.88889429, 1.01027164, 0.96032329, 2.20532393, 0.64070356, 1.98215813, 0.97600949, 2.20476403, 1.00289643, 0.76727463, 0.80901312, 2.20712181, 1.16889487, 1.82343650, 1.35492394, 2.20752599, 1.14392923, 1.06116814, 0.80962780, 2.20783022, 0.70914651
6259.600000, 0, 0, 0, 35.8, 1.217041, 4095.000000, 0, 2.92767606, 3.03279326, 2.20756441, 1.35328904, 1.09970399, 0.47447195, 2.20780864, 1.20068080, 1.04111906, 1.47713301, 2.20770810, 0.88889300, 1.01025458, 0.96030269, 2.20793076, 0.64070794, 1.98220410, 0.97601523, 2.20546642, 1.00291147, 0.76728945, 0.80902123, 2.20498272, 1.16897832, 1.82349837, 1.35494519, 2.20488073, 1.14398414, 1.06120075, 0.80964673, 2.20477875, 0.70915961
6260.100000, 0, 0, 0, 35.8, 1.217651, 4095.000000, 0, 2.92755148, 3.03279697, 2.20674507, 1.35328322, 1.09977106, 0.47446728, 2.20746441, 1.20074857, 1.04110566, 1.47716418, 2.20761388, 0.88892382, 1.01027947, 0.96035013, 2.20780864, 0.64072504, 1.98216429, 0.97605028, 2.20770862, 1.00294878, 0.76731455, 0.80902861, 2.20781074, 1.16898663, 1.82336761, 1.35503328, 2.20532182, 1.14398930, 1.06126655, 0.80963296, 2.20458269, 0.70917271
6260.700000, 0, 0, 0, 35.8, 1.218262, 4095.000000, 0, 2.92761839, 3.03277695, 2.20461528, 1.35334247, 1.09976574, 0.47449041, 2.20468992, 1.20073696, 1.04112333, 1.47717958, 2.20662091, 0.88891942, 1.01028283, 0.96035582, 2.20754388, 0.64071583, 1.98224724, 0.97607930, 2.20753388, 1.00295963, 0.76730571, 0.80902566, 2.20751862, 1.16895707, 1.82335752, 1.35510527, 2.20785285, 1.14403451, 1.06129542, 0.80966469, 2.20750388, 0.70918489
6261.200000, 0, 0, 0, 35.8, 1.218262, 4095.000000, 0, 2.92771806, 3.03274878, 2.20762020, 1.35341815, 1.09978169, 0.47445718, 2.20769652, 1.20075421, 1.04112219, 1.47717665, 2.20794971, 0.88895568, 1.01027919, 0.96038537, 2.20800183, 0.64072877, 1.98213964, 0.97607656, 2.20768073, 1.00299834, 0.76731862, 0.80900968, 2.20771020, 1.16897154, 1.82331189, 1.35517211, 2.20792076, 1.14406970, 1.06135343, 0.80966444, 2.20802709, 0.70919063
6261.800000, 0, 0, 0, 35.8, 1.217651, 4095.000000, 0, 2.92801922, 3.03286147, 2.20524822, 1.35351473, 1.09978494, 0.47447894, 2.20466626, 1.20077618, 1.04115241, 1.47710881, 2.20655620, 0.88894946, 1.01029374, 0.96036260, 2.20735441, 0.64072964, 1.98219462, 0.97610449, 2.20762651, 1.00297718, 0.76731742, 0.80905098, 2.20731442, 1.16897709, 1.82330750, 1.35515189, 2.20731810, 1.14409913, 1.06140221, 0.80966616, 2.20543960, 0.70917799
6262.300000, 0, 0, 0, 35.8, 1.219482, 4095.000000, 0, 2.92790245, 3.03298602, 2.20458269, 1.35355823, 1.09982365, 0.47447389, 2.20706077, 1.20078402, 1.04113673, 1.47713998, 2.20718864, 0.88896733, 1.01031695, 0.96038184, 2.20766652, 0.64073205, 1.98231644, 0.97611708, 2.20735073, 1.00301922, 0.76733033, 0.80902197, 2.20759704, 1.16896292, 1.82336761, 1.35516937, 2.20741336, 1.14410975, 1.06140914, 0.80965657, 2.20779390, 0.70920075
6262.900000, 128, 0, 0, 35.8, 1.218872, 4095.000000, 1, 2.92783268, 3.03292819, 2.20763967, 1.35357638, 1.09982335, 0.47446573, 2.20775442, 1.20077335, 1.04113816, 1.47710698, 2.20538545, 0.88898806, 1.01032814, 0.96039648, 2.20495275, 0.64073359, 1.98230317, 0.97611626, 2.20707130, 1.00300335, 0.76731957, 0.80903746, 2.20767231, 1.16898509, 1.82339613, 1.35520674, 2.20760493, 1.14410611, 1.06143887, 0.80967059, 2.20781443, 0.70922304
6263.400000, 128, 0, 0, 35.8, 1.215820, 4095.000000, 1, 2.92789106, 3.03283997, 2.20704814, 1.35347877, 1.10010229, 0.47449585, 2.20773915, 1.20091016, 1.04117664, 1.47723018, 2.20768125, 0.88905877, 1.01037849, 0.96049164, 2.20778916, 0.64078532, 1.98265255, 0.97625836, 2.20501426, 1.00311556, 0.76736858, 0.80910629, 2.20708656, 1.16900480, 1.82340622, 1.35513852, 2.20727968, 1.14420624, 1.06146225, 0.80967600, 2.20770126, 0.70917271
