"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B210423113 +++ Firmware version: 40.51"
"6/16/2026","4:27 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
5018.100000, 0, 0, 0, 35.7, 1.218872, 4095.000000, 0, 2.93101278, 3.03568902, 2.20742388, 1.35528318, 1.10077412, 0.47730013, 2.20779232, 1.20234443, 1.04428186, 1.47682541, 2.20761493, 0.88982905, 1.01088875, 0.96106974, 2.20547115, 0.64092275, 1.98405777, 0.97737234, 2.20495958, 1.00425508, 0.76755795, 0.80924273, 2.20710497, 1.17038370, 1.82424927, 1.35871614, 2.20521614, 1.14698833, 1.06405638, 0.80985504, 2.20501531, 0.70985155
5018.700000, 0, 0, 0, 35.7, 1.217651, 4095.000000, 0, 2.93105983, 3.03585527, 2.20715181, 1.35536204, 1.10078949, 0.47730305, 2.20749967, 1.20238337, 1.04433499, 1.47687270, 2.20765652, 0.88985652, 1.01084342, 0.96107463, 2.20727863, 0.64090522, 1.98405871, 0.97737014, 2.20775968, 1.00427069, 0.76757852, 0.80923806, 2.20779811, 1.17040867, 1.82416850, 1.35874087, 2.20550638, 1.14705489, 1.06407431, 0.80982946, 2.20462631, 0.70987294
5019.200000, 0, 0, 0, 35.7, 1.219482, 4095.000000, 0, 2.93100708, 3.03581297, 2.20458216, 1.35542855, 1.10078594, 0.47730753, 2.20503634, 1.20242671, 1.04436755, 1.47689103, 2.20479399, 0.88987259, 1.01085182, 0.96108385, 2.20478611, 0.64090171, 1.98410283, 0.97741261, 2.20649360, 1.00424728, 0.76756895, 0.80927273, 2.20748914, 1.17038432, 1.82422074, 1.35875014, 2.20729810, 1.14706219, 1.06407257, 0.80981397, 2.20728232, 0.70987202
5019.800000, 128, 0, 0, 35.7, 1.219482, 4095.000000, 1, 2.93108264, 3.03581074, 2.20748388, 1.35539186, 1.10079895, 0.47730481, 2.20795550, 1.20242012, 1.04436898, 1.47692073, 2.20786391, 0.88989540, 1.01086469, 0.96107815, 2.20782443, 0.64092385, 1.98415977, 0.97744111, 2.20778705, 1.00423586, 0.76757373, 0.80927789, 2.20739494, 1.17038370, 1.82419747, 1.35879411, 2.20526241, 1.14713909, 1.06420499, 0.80981274, 2.20735231, 0.70989984
5020.300000, 128, 0, 0, 35.7, 1.218872, 4095.000000, 1, 2.93109975, 3.03604825, 2.20752967, 1.35546284, 1.10143764, 0.47737571, 2.20566940, 1.20264406, 1.04449924, 1.47705015, 2.20462001, 0.89007009, 1.01098584, 0.96128211, 2.20466679, 0.64103214, 1.98463568, 0.97764746, 2.20450910, 1.00438159, 0.76764786, 0.80931502, 2.20694554, 1.17036213, 1.82426770, 1.35869415, 2.20489650, 1.14721356, 1.06410784, 0.80983979, 2.20467309, 0.70982005
5020.900000, 128, 0, 0, 35.7, 1.218872, 4095.000000, 1, 2.92881251, 3.03407460, 2.20463630, 1.35446573, 1.10110762, 0.47748576, 2.20493751, 1.20231145, 1.04391887, 1.47698416, 2.20706709, 0.88980832, 1.01073711, 0.96095855, 2.20779021, 0.64090807, 1.98389837, 0.97736192, 2.20787970, 1.00404166, 0.76750798, 0.80912350, 2.20777337, 1.16995229, 1.82399689, 1.35785487, 2.20750178, 1.14669444, 1.06387888, 0.80980093, 2.20775652, 0.70969429
5021.400000, 128, 0, 0, 35.7, 1.217651, 4095.000000, 1, 2.92770809, 3.03289928, 2.20720443, 1.35380073, 1.10075254, 0.47742460, 2.20566151, 1.20215727, 1.04364818, 1.47691633, 2.20460792, 0.88965905, 1.01060786, 0.96084113, 2.20704183, 0.64086708, 1.98366546, 0.97727068, 2.20753020, 1.00389428, 0.76743936, 0.80906155, 2.20762388, 1.16981457, 1.82395388, 1.35739420, 2.20762862, 1.14647657, 1.06367451, 0.80978249, 2.20797393, 0.70962784
5022.000000, 128, 0, 0, 35.7, 1.218872, 4095.000000, 1, 2.92718774, 3.03219285, 2.20740915, 1.35317159, 1.10064257, 0.47736324, 2.20549797, 1.20203920, 1.04345547, 1.47691120, 2.20486706, 0.88956266, 1.01051191, 0.96076629, 2.20482080, 0.64081118, 1.98333299, 0.97711890, 2.20699710, 1.00371071, 0.76736978, 0.80899149, 2.20543382, 1.16965129, 1.82382309, 1.35692883, 2.20482291, 1.14613569, 1.06349936, 0.80974068, 2.20442816, 0.70955542
5022.600000, 128, 0, 0, 35.7, 1.219482, 4095.000000, 1, 2.92696995, 3.03185120, 2.20446968, 1.35278915, 1.10045014, 0.47731162, 2.20709234, 1.20193057, 1.04329304, 1.47686610, 2.20762757, 0.88945332, 1.01046744, 0.96065675, 2.20719759, 0.64077896, 1.98296927, 0.97699782, 2.20767283, 1.00355890, 0.76735113, 0.80896248, 2.20765073, 1.16959153, 1.82384767, 1.35680084, 2.20763441, 1.14609498, 1.06339561, 0.80976183, 2.20747388, 0.70956278
5023.100000, 128, 0, 0, 35.6, 1.218262, 4095.000000, 1, 2.92682903, 3.03176449, 2.20740336, 1.35264434, 1.10068100, 0.47731571, 2.20775600, 1.20198457, 1.04335156, 1.47691450, 2.20731547, 0.88948623, 1.01041037, 0.96072237, 2.20739915, 0.64082521, 1.98322960, 0.97701699, 2.20734389, 1.00357172, 0.76735783, 0.80898854, 2.20774494, 1.16961710, 1.82400610, 1.35677305, 2.20491648, 1.14608556, 1.06335487, 0.80976650, 2.20448177, 0.70955542
5023.700000, 128, 0, 0, 35.6, 1.218872, 4095.000000, 1, 2.92701051, 3.03177413, 2.20447021, 1.35250502, 1.10080664, 0.47741135, 2.20723495, 1.20199462, 1.04330246, 1.47695189, 2.20739388, 0.88946912, 1.01039611, 0.96069607, 2.20768652, 0.64081096, 1.98317459, 0.97693262, 2.20775547, 1.00348287, 0.76733726, 0.80895585, 2.20557790, 1.16957120, 1.82386610, 1.35648417, 2.20699552, 1.14587142, 1.06313959, 0.80975273, 2.20767599, 0.70948761
5024.300000, 128, 0, 0, 35.6, 1.218872, 4095.000000, 1, 2.92689593, 3.03174226, 2.20488967, 1.35230684, 1.10052019, 0.47738544, 2.20493961, 1.20183669, 1.04316145, 1.47692073, 2.20697763, 0.88934191, 1.01030632, 0.96058490, 2.20762283, 0.64075485, 1.98283603, 0.97681621, 2.20747493, 1.00332162, 0.76728395, 0.80890570, 2.20510784, 1.16945507, 1.82370812, 1.35627252, 2.20667615, 1.14558866, 1.06299281, 0.80971190, 2.20762862, 0.70946048
5024.800000, 128, 0, 0, 35.6, 1.218872, 4095.000000, 1, 2.92682049, 3.03153256, 2.20725021, 1.35200294, 1.10036176, 0.47735506, 2.20783653, 1.20171080, 1.04312463, 1.47686647, 2.20507314, 0.88929968, 1.01028591, 0.96055182, 2.20710971, 0.64073052, 1.98287728, 0.97674499, 2.20736336, 1.00327233, 0.76728371, 0.80888432, 2.20771599, 1.16943474, 1.82375683, 1.35621283, 2.20771915, 1.14550758, 1.06289227, 0.80969862, 2.20768652, 0.70942255
